+-----+--------------------------------------------+-----------------------------------------+------------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                              | BiomeType  | BiomeDictionary.Type                                           | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  79 | byg:amaranthfields                         | Amaranth Fields                         | WARM       | LUSH, OVERWORLD, PLAINS, RARE                                  | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mubble:toad [weight: 10, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  80 | byg:ancient_forest                         | Ancient Forest                          | WARM       | FOREST, MAGICAL, OVERWORLD, RARE                               | { minecraft:cave_spider [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  81 | byg:aspenforest                            | Aspen Forest                            | WARM       | FOREST, OVERWORLD                                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
|  82 | byg:autumnal_valley                        | Autumnal Valley                         | COOL       | DRY, OVERWORLD, PLAINS                                         | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mubble:toad [weight: 10, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  83 | byg:baobabsavanna                          | Baobab Savanna                          | DESERT     | DRY, OVERWORLD, SAVANNA, SPARSE                                | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 1] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  84 | byg:bayou                                  | Bayou                                   | WARM       | FOREST, OVERWORLD, SWAMP, WET                                  | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:moose [weight: 8, min: 1, max: 1] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { quark:frog [weight: 40, min: 1, max: 3] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }                                            |
|  85 | byg:bluetaiga                              | Blue Taiga                              | COOL       | COLD, CONIFEROUS, FOREST, OVERWORLD                            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                             |
|  86 | byg:bluffsteeps                            | Bluff Steeps                            | COOL       | COLD, CONIFEROUS, MOUNTAIN, OVERWORLD                          | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|  87 | byg:borealforest                           | Boreal Forest                           | COOL       | FOREST, OVERWORLD                                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
|  88 | byg:coldswamplands                         | Cold Swamplands                         | COOL       | OVERWORLD, SWAMP                                               | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:moose [weight: 8, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { quark:frog [weight: 40, min: 1, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  89 | byg:crag_gardens                           | Crag Gardens                            | WARM       | JUNGLE, MAGICAL, OVERWORLD, PLATEAU, RARE, WET                 | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:piranha [weight: 7, min: 1, max: 5] }; { minecraft:cod [weight: 2, min: 1, max: 4] }; { minecraft:salmon [weight: 5, min: 1, max: 5] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  90 | byg:cika_woods                             | Cika Woods                              | COOL       | COLD, CONIFEROUS, FOREST, OVERWORLD                            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mubble:toad [weight: 10, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  91 | byg:cherry_blossom_forest                  | Cherry Blossom Forest                   | WARM       | FOREST, OVERWORLD                                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
|  92 | byg:redwood_tropics                        | Redwood Tropics                         | WARM       | DENSE, FOREST, OVERWORLD                                       | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                |
|  93 | byg:coniferousforest                       | Coniferous Forest                       | COOL       | COLD, CONIFEROUS, FOREST, OVERWORLD                            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 100, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 25, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                           |
