+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                        |
| Don't use the item ID for anything "proper"!!                                                                                                                                                                                                          |
| It's provided here for completeness's sake, it's different in every world.                                                                                                                                                                             |
+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
| Mod name                 | Registry name                             | Item ID | Display name          | Tool classes                          | Harvest levels                                                        | Tags                          |
| ProjectE                 | projecte:rm_katar                         |     959 | Red Katar             | axe, hoe, katar, shears               | axe = 5 (?), hoe = 5 (?), katar = 5 (?), shears = 5 (?)               |                               |
| ProjectE                 | projecte:rm_morning_star                  |     960 | Red Morningstar       | hammer, morning_star, pickaxe, shovel | hammer = 5 (?), morning_star = 5 (?), pickaxe = 5 (?), shovel = 5 (?) |                               |
| ProjectE                 | projecte:rm_pick                          |     952 | Red Matter Pickaxe    | pickaxe                               | pickaxe = 5 (?)                                                       |                               |
| ProjectE                 | projecte:rm_shears                        |     957 | Red Matter Shears     | shears                                | shears = 5 (?)                                                        |                               |
| ProjectE                 | projecte:rm_shovel                        |     954 | Red Matter Shovel     | shovel                                | shovel = 5 (?)                                                        |                               |
| Quark                    | quark:pickarang                           |    5137 | Pickarang             | axe, pickaxe, shovel                  | axe = 3 (Diamond), pickaxe = 3 (Diamond), shovel = 3 (Diamond)        |                               |
| Spartan Weaponry         | spartanweaponry:battleaxe_bronze          |    2204 | Bronze Battleaxe      | axe                                   | axe = 2 (Iron)                                                        | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_copper          |    2202 | Copper Battleaxe      | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_diamond         |    2201 | Diamond Battleaxe     | axe                                   | axe = 3 (Diamond)                                                     | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_electrum        |    2209 | Electrum Battleaxe    | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_gold            |    2200 | Golden Battleaxe      | axe                                   | axe = 0 (Wood/Gold)                                                   | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_invar           |    2207 | Invar Battleaxe       | axe                                   | axe = 2 (Iron)                                                        | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_iron            |    2199 | Iron Battleaxe        | axe                                   | axe = 2 (Iron)                                                        | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_lead            |    2211 | Lead Battleaxe        | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_nickel          |    2210 | Nickel Battleaxe      | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_platinum        |    2208 | Platinum Battleaxe    | axe                                   | axe = 3 (Diamond)                                                     | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_silver          |    2206 | Silver Battleaxe      | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_steel           |    2205 | Steel Battleaxe       | axe                                   | axe = 2 (Iron)                                                        | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_stone           |    2198 | Stone Battleaxe       | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_tin             |    2203 | Tin Battleaxe         | axe                                   | axe = 1 (Stone)                                                       | spartanweaponry:battleaxes    |
| Spartan Weaponry         | spartanweaponry:battleaxe_wood            |    2197 | Wooden Battleaxe      | axe                                   | axe = 0 (Wood/Gold)                                                   | spartanweaponry:battleaxes    |
+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
| Mod name                 | Registry name                             | Item ID | Display name          | Tool classes                          | Harvest levels                                                        | Tags                          |
+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
