+--------------------------+------------------------------------+---------+-----------------------------+------------+------------------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                         |
| Don't use the item ID for anything "proper"!!                                                                                                                                                           |
| It's provided here for completeness's sake, it's different in every world.                                                                                                                              |
+--------------------------+------------------------------------+---------+-----------------------------+------------+------------------------------------------------------------------------------------+
| Mod name                 | Registry name                      | Item ID | Display name                | Plant Type | Tags                                                                               |
| Minecraft                | minecraft:birch_sapling            |      21 | Birch Sapling               | Plains     | minecraft:saplings                                                                 |
| Minecraft                | minecraft:blue_orchid              |     100 | Blue Orchid                 | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:brown_mushroom           |     111 | Brown Mushroom              | Cave       | forge:mushrooms, mubble:feeding/toad, mubble:mushrooms                             |
| Minecraft                | minecraft:cactus                   |     178 | Cactus                      | Desert     |                                                                                    |
| Minecraft                | minecraft:carrot                   |     763 | Carrot                      | Crop       | forge:crops, forge:crops/carrot                                                    |
| Minecraft                | minecraft:cornflower               |     108 | Cornflower                  | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:dandelion                |      98 | Dandelion                   | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:dark_oak_sapling         |      24 | Dark Oak Sapling            | Plains     | minecraft:saplings                                                                 |
| Minecraft                | minecraft:dead_bush                |      78 | Dead Bush                   | Desert     |                                                                                    |
| Minecraft                | minecraft:fern                     |      77 | Fern                        | Plains     |                                                                                    |
| Minecraft                | minecraft:grass                    |      76 | Grass                       | Plains     |                                                                                    |
| Minecraft                | minecraft:jungle_sapling           |      22 | Jungle Sapling              | Plains     | minecraft:saplings                                                                 |
| Minecraft                | minecraft:large_fern               |     328 | Large Fern                  | Plains     |                                                                                    |
| Minecraft                | minecraft:lilac                    |     324 | Lilac                       | Plains     | minecraft:flowers, minecraft:tall_flowers                                          |
| Minecraft                | minecraft:lily_of_the_valley       |     109 | Lily of the Valley          | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:lily_pad                 |     225 | Lily Pad                    | Water      | tombstone:voodoo_poppet_ingredients                                                |
| Minecraft                | minecraft:melon_seeds              |     676 | Melon Seeds                 | Crop       | forge:seeds, forge:seeds/melon, mubble:feeding/duck                                |
| Minecraft                | minecraft:nether_wart              |     686 | Nether Wart                 | Nether     | forge:crops, forge:crops/nether_wart                                               |
| Minecraft                | minecraft:oak_sapling              |      19 | Oak Sapling                 | Plains     | minecraft:saplings                                                                 |
| Minecraft                | minecraft:orange_tulip             |     104 | Orange Tulip                | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:oxeye_daisy              |     107 | Oxeye Daisy                 | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:peony                    |     326 | Peony                       | Plains     | minecraft:flowers, minecraft:tall_flowers                                          |
| Minecraft                | minecraft:pink_tulip               |     106 | Pink Tulip                  | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:poppy                    |      99 | Poppy                       | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:potato                   |     764 | Potato                      | Crop       | forge:crops, forge:crops/potato                                                    |
| Minecraft                | minecraft:pumpkin_seeds            |     675 | Pumpkin Seeds               | Crop       | forge:seeds, forge:seeds/pumpkin, mubble:feeding/duck                              |
| Minecraft                | minecraft:red_mushroom             |     112 | Red Mushroom                | Cave       | forge:mushrooms, mubble:feeding/toad, mubble:mushrooms                             |
| Minecraft                | minecraft:red_tulip                |     103 | Red Tulip                   | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:rose_bush                |     325 | Rose Bush                   | Plains     | minecraft:flowers, minecraft:tall_flowers                                          |
| Minecraft                | minecraft:sea_pickle               |      80 | Sea Pickle                  | Plains     |                                                                                    |
| Minecraft                | minecraft:seagrass                 |      79 | Seagrass                    | Plains     |                                                                                    |
| Minecraft                | minecraft:spruce_sapling           |      20 | Spruce Sapling              | Plains     | minecraft:saplings                                                                 |
| Minecraft                | minecraft:sugar_cane               |     611 | Sugar Cane                  | Beach      |                                                                                    |
| Minecraft                | minecraft:sunflower                |     323 | Sunflower                   | Plains     | minecraft:flowers, minecraft:tall_flowers                                          |
| Minecraft                | minecraft:sweet_berries            |     876 | Sweet Berries               | Plains     |                                                                                    |
| Minecraft                | minecraft:tall_grass               |     327 | Tall Grass                  | Plains     |                                                                                    |
| Minecraft                | minecraft:wheat_seeds              |     560 | Wheat Seeds                 | Crop       | forge:seeds, forge:seeds/wheat, mubble:feeding/duck                                |
| Minecraft                | minecraft:white_tulip              |     105 | White Tulip                 | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:wither_rose              |     110 | Wither Rose                 | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Mubble                   | mubble:acacia_leaf_pile            |    7736 | Acacia Leaf Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:allium_pile                 |    7875 | Allium Pile                 | Plains     |                                                                                    |
| Mubble                   | mubble:autumn_birch_leaf_pile      |    7739 | Autumn Birch Leaf Pile      | Plains     |                                                                                    |
| Mubble                   | mubble:autumn_birch_sapling        |    7717 | Autumn Birch Sapling        | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:autumn_oak_leaf_pile        |    7738 | Autumn Oak Leaf Pile        | Plains     |                                                                                    |
| Mubble                   | mubble:autumn_oak_sapling          |    7716 | Autumn Oak Sapling          | Plains     |                                                                                    |
| Mubble                   | mubble:azure_bluet_pile            |    7876 | Azure Bluet Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:birch_leaf_pile             |    7734 | Birch Leaf Pile             | Plains     |                                                                                    |
| Mubble                   | mubble:black_mushroom              |    7858 | Black Mushroom              | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:blue_mushroom               |    7865 | Blue Mushroom               | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:blue_orchid_pile            |    7874 | Blue Orchid Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:blueberries                 |    7941 | Blueberries                 | Plains     |                                                                                    |
| Mubble                   | mubble:boomerang_flower            |    7852 | Boomerang Flower            | Plains     |                                                                                    |
| Mubble                   | mubble:cloud_flower                |    7853 | Cloud Flower                | Plains     | mubble:weight/light                                                                |
| Mubble                   | mubble:cornflower_pile             |    7882 | Cornflower Pile             | Plains     |                                                                                    |
| Mubble                   | mubble:cyan_mushroom               |    7863 | Cyan Mushroom               | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:dandelion_pile              |    7872 | Dandelion Pile              | Plains     |                                                                                    |
| Mubble                   | mubble:dark_oak_leaf_pile          |    7737 | Dark Oak Leaf Pile          | Plains     |                                                                                    |
| Mubble                   | mubble:fire_flower                 |    7850 | Fire Flower                 | Plains     |                                                                                    |
| Mubble                   | mubble:gold_flower                 |    7854 | Gold Flower                 | Plains     |                                                                                    |
| Mubble                   | mubble:gray_mushroom               |    7857 | Gray Mushroom               | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:green_mushroom              |    7862 | Green Mushroom              | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:ice_flower                  |    7851 | Ice Flower                  | Plains     |                                                                                    |
| Mubble                   | mubble:jungle_leaf_pile            |    7735 | Jungle Leaf Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:light_blue_mushroom         |    7864 | Light Blue Mushroom         | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:light_gray_mushroom         |    7856 | Light Gray Mushroom         | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:lily_of_the_valley_pile     |    7883 | Lily of the Valley Pile     | Plains     |                                                                                    |
| Mubble                   | mubble:lime_mushroom               |    7861 | Lime Mushroom               | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:magenta_mushroom            |    7867 | Magenta Mushroom            | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:oak_leaf_pile               |    7732 | Oak Leaf Pile               | Plains     |                                                                                    |
| Mubble                   | mubble:orange_mushroom             |    7859 | Orange Mushroom             | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:orange_tulip_pile           |    7878 | Orange Tulip Pile           | Plains     |                                                                                    |
| Mubble                   | mubble:oxeye_daisy_pile            |    7881 | Oxeye Daisy Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:palm_leaf_pile              |    7742 | Palm Leaf Pile              | Plains     |                                                                                    |
| Mubble                   | mubble:palm_sapling                |    7720 | Palm Sapling                | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:pink_cherry_oak_leaf_pile   |    7740 | Pink Cherry Oak Leaf Pile   | Plains     |                                                                                    |
| Mubble                   | mubble:pink_cherry_oak_sapling     |    7718 | Pink Cherry Oak Sapling     | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:pink_mushroom               |    7868 | Pink Mushroom               | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:pink_press_garden_leaf_pile |    7744 | Pink Press Garden Leaf Pile | Plains     |                                                                                    |
| Mubble                   | mubble:pink_press_garden_sapling   |    7722 | Pink Press Garden Sapling   | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:pink_tulip_pile             |    7880 | Pink Tulip Pile             | Plains     |                                                                                    |
| Mubble                   | mubble:poppy_pile                  |    7873 | Poppy Pile                  | Plains     |                                                                                    |
| Mubble                   | mubble:potato_flower               |    7871 | Potato Flower               | Plains     |                                                                                    |
| Mubble                   | mubble:purple_mushroom             |    7866 | Purple Mushroom             | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:red_press_garden_leaf_pile  |    7743 | Red Press Garden Leaf Pile  | Plains     |                                                                                    |
| Mubble                   | mubble:red_press_garden_sapling    |    7721 | Red Press Garden Sapling    | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:red_tulip_pile              |    7877 | Red Tulip Pile              | Plains     |                                                                                    |
| Mubble                   | mubble:salad                       |    7936 | Salad                       | Crop       |                                                                                    |
| Mubble                   | mubble:scarlet_leaf_pile           |    7745 | Scarlet Leaf Pile           | Plains     |                                                                                    |
| Mubble                   | mubble:scarlet_mushroom            |    7869 | Scarlet Mushroom            | Plains     |                                                                                    |
| Mubble                   | mubble:scarlet_orchid              |    7870 | Scarlet Orchid              | Plains     |                                                                                    |
| Mubble                   | mubble:scarlet_sapling             |    7723 | Scarlet Sapling             | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:spruce_leaf_pile            |    7733 | Spruce Leaf Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:tomato                      |    7935 | Tomato                      | Crop       |                                                                                    |
| Mubble                   | mubble:white_cherry_oak_leaf_pile  |    7741 | White Cherry Oak Leaf Pile  | Plains     |                                                                                    |
| Mubble                   | mubble:white_cherry_oak_sapling    |    7719 | White Cherry Oak Sapling    | Plains     | minecraft:saplings                                                                 |
| Mubble                   | mubble:white_mushroom              |    7855 | White Mushroom              | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| Mubble                   | mubble:white_tulip_pile            |    7879 | White Tulip Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:wither_rose_pile            |    7884 | Wither Rose Pile            | Plains     |                                                                                    |
| Mubble                   | mubble:yellow_mushroom             |    7860 | Yellow Mushroom             | Plains     | mubble:feeding/toad, mubble:mushrooms                                              |
| NetherEx                 | netherex:brown_elder_mushroom      |    2772 | Brown Elder Mushroom        | Cave       |                                                                                    |
| NetherEx                 | netherex:red_elder_mushroom        |    2773 | Red Elder Mushroom          | Cave       |                                                                                    |
| NetherEx                 | netherex:thornstalk                |    2771 | Thornstalk                  | Nether     |                                                                                    |
| Oh The Biomes You'll Go  | byg:allium_flower_bush             |    6765 | Purple Allium Bush          | Plains     | byg:purple_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:alpine_bellflower              |    6767 | Alpine Bellflower           | Plains     | byg:purple_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:amaranth                       |    6768 | Amaranth Bush               | Plains     | byg:red_dye, minecraft:flowers, minecraft:small_flowers                            |
| Oh The Biomes You'll Go  | byg:angelica                       |    6769 | Angelica                    | Plains     | byg:white_dye, minecraft:flowers, minecraft:small_flowers                          |
| Oh The Biomes You'll Go  | byg:aspen_sapling                  |    6238 | Aspen Sapling               | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:azalea                         |    6770 | Azalea                      | Plains     | byg:blue_dye, minecraft:flowers, minecraft:small_flowers, minecraft:tall_flowers   |
| Oh The Biomes You'll Go  | byg:baobab_sapling                 |    6256 | Baobab Sapling              | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:beach_grass                    |    6752 | Beach Grass                 | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:begonia                        |    6771 | Begonia                     | Plains     | byg:red_dye, minecraft:flowers, minecraft:small_flowers                            |
| Oh The Biomes You'll Go  | byg:bistort                        |    6772 | Bistort                     | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:black_puff                     |    6730 | Black Puff                  | Plains     | forge:mushrooms                                                                    |
| Oh The Biomes You'll Go  | byg:black_rose                     |    6773 | Black Rose                  | Plains     | byg:black_dye, minecraft:flowers, minecraft:small_flowers                          |
| Oh The Biomes You'll Go  | byg:blue_enchanted_sapling         |    6274 | Blue Enchanted Sapling      | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:blue_glowcane                  |    6671 | Blue Glowcane               | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:blue_glowshroom                |    6682 | Blue Glowshroom             | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:blue_sage                      |    6774 | Blue Sage                   | Plains     | byg:blue_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:blue_spruce_sapling            |    6639 | Blue Spruce Sapling         | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:blueberries                    |    6734 | Blueberries                 | Plains     | byg:blue_dye, forge:crops, forge:fruits                                            |
| Oh The Biomes You'll Go  | byg:brown_birch_sapling            |    6641 | Brown Birch Sapling         | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:brown_oak_sapling              |    6643 | Brown Oak Sapling           | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:california_poppy               |    6775 | California Poppy            | Plains     | byg:orange_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:cattail                        |    6735 | Cattail                     | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:cika_sapling                   |    6314 | Cika Sapling                | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:clover_patch                   |    6754 | Clover Patch                | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:crocus                         |    6776 | Crocus                      | Plains     | byg:purple_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:cyan_amaranth                  |    6777 | Cyan Amaranth Bush          | Plains     | byg:cyan_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:cyan_rose                      |    6778 | Cyan Rose                   | Plains     | byg:cyan_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:cyan_tulip                     |    6779 | Cyan Tulip                  | Plains     | byg:cyan_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:cypress_sapling                |    6332 | Cypress Sapling             | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:daffodil                       |    6780 | Daffodil                    | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:delphinium                     |    6781 | Delphinium                  | Plains     | byg:blue_dye, minecraft:flowers, minecraft:small_flowers, minecraft:tall_flowers   |
| Oh The Biomes You'll Go  | byg:ebony_sapling                  |    6350 | Ebony Sapling               | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:embur_lily                     |    6714 | Embur Lily                  | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:embur_roots                    |    6711 | Embur Roots                 | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:embur_wart                     |    6712 | Embur Wart                  | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:fairy_slipper                  |    6782 | Fairy Slipper               | Plains     | byg:magenta_dye, minecraft:flowers, minecraft:small_flowers                        |
| Oh The Biomes You'll Go  | byg:fir_sapling                    |    6368 | Fir Sapling                 | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:firecracker_flower_bush        |    6783 | Fircracker Bush             | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:flower_patch                   |    6755 | Flower Patch                | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:foxglove                       |    6784 | Foxglove                    | Plains     | byg:cyan_dye, minecraft:flowers, minecraft:small_flowers, minecraft:tall_flowers   |
| Oh The Biomes You'll Go  | byg:golden_spined_cactus           |    6736 | Golden Spined Cactus        | Plains     | byg:green_dye, minecraft:flowers, minecraft:small_flowers                          |
| Oh The Biomes You'll Go  | byg:green_enchanted_sapling        |    6386 | Green Enchanted Sapling     | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:green_mushroom                 |    6724 | Green Mushroom              | Plains     | forge:mushrooms                                                                    |
| Oh The Biomes You'll Go  | byg:green_tulip                    |    6785 | Green Tulip                 | Plains     | byg:lime_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:guzmania                       |    6786 | Guzmania                    | Plains     | byg:orange_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:holly_sapling                  |    6406 | Holly Sapling               | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:horseweed                      |    6737 | Horseweed                   | Plains     | byg:green_dye                                                                      |
| Oh The Biomes You'll Go  | byg:incan_lily                     |    6787 | Incan Lily                  | Plains     | byg:orange_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:indigo_jacaranda_sapling       |    6426 | Indigo Jacaranda Sapling    | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:iris                           |    6788 | Iris                        | Plains     | byg:purple_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:ivis_roots                     |    6719 | Ivis Roots                  | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:ivis_sprout                    |    6720 | Ivis Sprout                 | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:jacaranda_sapling              |    6424 | Jacaranda Sapling           | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:japanese_orchid                |    6789 | Japanese Orchid             | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers, minecraft:tall_flowers   |
| Oh The Biomes You'll Go  | byg:joshua_sapling                 |    6645 | Joshua Sapling              | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:kovan_flower                   |    6790 | Kovan Flower                | Plains     | byg:red_dye, minecraft:flowers, minecraft:small_flowers                            |
| Oh The Biomes You'll Go  | byg:lazarus_bellflower             |    6791 | Lazarus Bellflower          | Plains     | byg:magenta_dye, minecraft:flowers, minecraft:small_flowers                        |
| Oh The Biomes You'll Go  | byg:leaf_pile                      |    6753 | Leaf Pile                   | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:lolipop_flower                 |    6792 | Lolipop Flower              | Plains     | byg:yellow_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:magenta_amaranth               |    6793 | Magenta Amaranth Bush       | Plains     | byg:magenta_dye, minecraft:flowers, minecraft:small_flowers                        |
| Oh The Biomes You'll Go  | byg:magenta_tulip                  |    6794 | Magenta Tulip               | Plains     | byg:magenta_dye, minecraft:flowers, minecraft:small_flowers                        |
| Oh The Biomes You'll Go  | byg:mahogany_sapling               |    6444 | Mahogany Sapling            | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:mangrove_sapling               |    6462 | Mangrove Sapling            | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:maple_sapling                  |    6480 | Maple Sapling               | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:mini_cactus                    |    6738 | Mini Cactus                 | Plains     | byg:green_dye                                                                      |
| Oh The Biomes You'll Go  | byg:nether_bristle                 |    6696 | Nether Bristle              | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:orange_amaranth                |    6795 | Orange Amaranth Bush        | Plains     | byg:orange_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:orange_birch_sapling           |    6650 | Orange Birch Sapling        | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:orange_daisy                   |    6796 | Orange Daisy                | Plains     | byg:orange_dye, minecraft:flowers, minecraft:small_flowers                         |
| Oh The Biomes You'll Go  | byg:orange_oak_sapling             |    6652 | Orange Oak Sapling          | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:orange_spruce_sapling          |    6654 | Orange Spruce Sapling       | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:orchard_sapling                |    6656 | Orchard Sapling             | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:osiria_rose                    |    6797 | Osiria Rose                 | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:palo_verde_sapling             |    6503 | Palo Verde Sapling          | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:peach_leather_flower           |    6798 | Peach Leather Flower        | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:pine_sapling                   |    6509 | Pine Sapling                | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:pink_allium                    |    6799 | Pink Allium                 | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:pink_allium_flower_bush        |    6800 | Pink Allium Bush            | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:pink_anemone                   |    6802 | Pink Anemone                | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:pink_cherry_foliage            |    6293 | Pink Cherry Foliage         | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:pink_cherry_sapling            |    6292 | Pink Cherry Sapling         | Plains     | forge:saplings, minecraft:saplings                                                 |
| Oh The Biomes You'll Go  | byg:pink_daffodil                  |    6803 | Pink Daffodil               | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
| Oh The Biomes You'll Go  | byg:pink_glowcane                  |    6674 | Pink Glowcane               | Plains     |                                                                                    |
| Oh The Biomes You'll Go  | byg:pink_orchid                    |    6804 | Pink Orchid                 | Plains     | byg:pink_dye, minecraft:flowers, minecraft:small_flowers                           |
