+-----+--------------------------------------------+-----------------------------------------+-------------------------+
|  ID | Registry name                              | Biome name                              | waterColorMultiplier    |
|  23 | minecraft:jungle_edge                      | Jungle Edge                             | 0x003F76E4 (   4159204) |
|  24 | minecraft:deep_ocean                       | Deep Ocean                              | 0x003F76E4 (   4159204) |
|  25 | minecraft:stone_shore                      | Stone Shore                             | 0x003F76E4 (   4159204) |
|  26 | minecraft:snowy_beach                      | Snowy Beach                             | 0x003D57D6 (   4020182) |
|  27 | minecraft:birch_forest                     | Birch Forest                            | 0x003F76E4 (   4159204) |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills                      | 0x003F76E4 (   4159204) |
|  29 | minecraft:dark_forest                      | Dark Forest                             | 0x003F76E4 (   4159204) |
|  30 | minecraft:snowy_taiga                      | Snowy Taiga                             | 0x003D57D6 (   4020182) |
|  31 | minecraft:snowy_taiga_hills                | Snowy Taiga Hills                       | 0x003D57D6 (   4020182) |
|  32 | minecraft:giant_tree_taiga                 | Giant Tree Taiga                        | 0x003F76E4 (   4159204) |
|  33 | minecraft:giant_tree_taiga_hills           | Giant Tree Taiga Hills                  | 0x003F76E4 (   4159204) |
|  34 | minecraft:wooded_mountains                 | Wooded Mountains                        | 0x003F76E4 (   4159204) |
|  35 | minecraft:savanna                          | Savanna                                 | 0x003F76E4 (   4159204) |
|  36 | minecraft:savanna_plateau                  | Savanna Plateau                         | 0x003F76E4 (   4159204) |
|  37 | minecraft:badlands                         | Badlands                                | 0x003F76E4 (   4159204) |
|  38 | minecraft:wooded_badlands_plateau          | Wooded Badlands Plateau                 | 0x003F76E4 (   4159204) |
|  39 | minecraft:badlands_plateau                 | Badlands Plateau                        | 0x003F76E4 (   4159204) |
|  40 | minecraft:small_end_islands                | Small End Islands                       | 0x003F76E4 (   4159204) |
|  41 | minecraft:end_midlands                     | End Midlands                            | 0x003F76E4 (   4159204) |
|  42 | minecraft:end_highlands                    | End Highlands                           | 0x003F76E4 (   4159204) |
|  43 | minecraft:end_barrens                      | End Barrens                             | 0x003F76E4 (   4159204) |
|  44 | minecraft:warm_ocean                       | Warm Ocean                              | 0x0043D5EE (   4445678) |
|  45 | minecraft:lukewarm_ocean                   | Lukewarm Ocean                          | 0x0045ADF2 (   4566514) |
|  46 | minecraft:cold_ocean                       | Cold Ocean                              | 0x003D57D6 (   4020182) |
|  47 | minecraft:deep_warm_ocean                  | Deep Warm Ocean                         | 0x0043D5EE (   4445678) |
|  48 | minecraft:deep_lukewarm_ocean              | Deep Lukewarm Ocean                     | 0x0045ADF2 (   4566514) |
|  49 | minecraft:deep_cold_ocean                  | Deep Cold Ocean                         | 0x003D57D6 (   4020182) |
|  50 | minecraft:deep_frozen_ocean                | Deep Frozen Ocean                       | 0x003938C9 (   3750089) |
|  51 | nomadictents:tent_biome                    | biome.nomadictents.tent_biome           | 0x003F76E4 (   4159204) |
|  52 | nuggets_dungeons_ii:pumpkin_patch          | biome.nuggets_dungeons_ii.pumpkin_patch | 0xFFFF9933 (    -26317) |
|  53 | netherex:ruthless_sands                    | Ruthless Sands                          | 0x003F76E4 (   4159204) |
|  54 | netherex:fungi_forest                      | Fungi Forest                            | 0x003F76E4 (   4159204) |
|  55 | netherex:torrid_wasteland                  | Torrid Wasteland                        | 0x003F76E4 (   4159204) |
|  56 | netherex:arctic_abyss                      | Arctic Abyss                            | 0x003F76E4 (   4159204) |
|  57 | appliedenergistics2:storage                | biome.appliedenergistics2.storage       | 0x003F76E4 (   4159204) |
|  58 | voyage:mount                               | biome.voyage.mount                      | 0x003F76E4 (   4159204) |
|  59 | voyage:bog                                 | biome.voyage.bog                        | 0x00617B64 (   6388580) |
|  60 | voyage:lagoon_warm                         | biome.voyage.lagoon_warm                | 0x0043D5EE (   4445678) |
|  61 | voyage:lagoon_lukewarm                     | biome.voyage.lagoon_lukewarm            | 0x0045ADF2 (   4566514) |
|  62 | voyage:lagoon_cold                         | biome.voyage.lagoon_cold                | 0x003D57D6 (   4020182) |
|  63 | voyage:steppe                              | biome.voyage.steppe                     | 0x003F76E4 (   4159204) |
|  64 | voyage:rocky_peaks                         | biome.voyage.rocky_peaks                | 0x003F76E4 (   4159204) |
|  65 | voyage:desert_mixed                        | biome.voyage.desert_mixed               | 0x003F76E4 (   4159204) |
|  66 | voyage:desert_mixed_hills                  | biome.voyage.desert_mixed_hills         | 0x003F76E4 (   4159204) |
|  67 | voyage:flower_plains                       | biome.voyage.flower_plains              | 0x003F76E4 (   4159204) |
|  68 | voyage:desert_mountains                    | biome.voyage.desert_mountains           | 0x003F76E4 (   4159204) |
|  69 | voyage:desert_polar                        | biome.voyage.desert_polar               | 0x003F76E4 (   4159204) |
|  70 | voyage:forest_lush                         | biome.voyage.forest_lush                | 0x0045ADF2 (   4566514) |
|  71 | voyage:rock_field                          | biome.voyage.rock_field                 | 0x003F76E4 (   4159204) |
|  72 | explorercraft:forested_mountain            | Forested Mountains                      | 0x003F76E4 (   4159204) |
|  73 | explorercraft:bamboo_grove                 | Bamboo Grove                            | 0x003F76E4 (   4159204) |
|  74 | explorercraft:snowdonia                    | Snowdonia                               | 0x003D57D6 (   4020182) |
|  75 | explorercraft:fungal_forest                | Fungal Forest                           | 0x00617B64 (   6388580) |
|  76 | explorercraft:cherry_grove                 | biome.explorercraft.cherry_grove        | 0x003F76E4 (   4159204) |
|  77 | byg:alliumfields                           | Allium Fields                           | 0x003F76E4 (   4159204) |
|  78 | byg:alps                                   | Alps                                    | 0x003F76E4 (   4159204) |
|  79 | byg:amaranthfields                         | Amaranth Fields                         | 0x003F76E4 (   4159204) |
|  80 | byg:ancient_forest                         | Ancient Forest                          | 0x003F76E4 (   4159204) |
|  81 | byg:aspenforest                            | Aspen Forest                            | 0x003F76E4 (   4159204) |
|  82 | byg:autumnal_valley                        | Autumnal Valley                         | 0x003F76E4 (   4159204) |
|  83 | byg:baobabsavanna                          | Baobab Savanna                          | 0x003F76E4 (   4159204) |
|  84 | byg:bayou                                  | Bayou                                   | 0x00497A4E (   4815438) |
|  85 | byg:bluetaiga                              | Blue Taiga                              | 0x003F76E4 (   4159204) |
|  86 | byg:bluffsteeps                            | Bluff Steeps                            | 0x003F76E4 (   4159204) |
|  87 | byg:borealforest                           | Boreal Forest                           | 0x003F76E4 (   4159204) |
|  88 | byg:coldswamplands                         | Cold Swamplands                         | 0x008C6B4D (   9202509) |
|  89 | byg:crag_gardens                           | Crag Gardens                            | 0x007CABD3 (   8170451) |
|  90 | byg:cika_woods                             | Cika Woods                              | 0x003F76E4 (   4159204) |
|  91 | byg:cherry_blossom_forest                  | Cherry Blossom Forest                   | 0x003F76E4 (   4159204) |
|  92 | byg:redwood_tropics                        | Redwood Tropics                         | 0x003F76E4 (   4159204) |
|  93 | byg:coniferousforest                       | Coniferous Forest                       | 0x003F76E4 (   4159204) |
|  94 | byg:cypress_swamplands                     | Cypress Swamplands                      | 0x003F76E4 (   4159204) |
|  95 | byg:dovermountains                         | Dover Mountains                         | 0x003F76E4 (   4159204) |
|  96 | byg:deadsea                                | Dead Sea                                | 0x00C0C0C0 (  12632256) |
|  97 | byg:deciduousforest                        | Deciduous Forest                        | 0x003F76E4 (   4159204) |
|  98 | byg:dunes                                  | Dunes                                   | 0x003F76E4 (   4159204) |
|  99 | byg:ebony_woods                            | Ebony Woods                             | 0x003F76E4 (   4159204) |
| 100 | byg:enchanted_forest                       | Enchanted Forest                        | 0x003F76E4 (   4159204) |
| 101 | byg:evergreen_taiga                        | Evergreen Taiga                         | 0x003F76E4 (   4159204) |
| 102 | byg:glowshroombayou                        | Glowshroom Bayou                        | 0x00497A4E (   4815438) |
| 103 | byg:grasslandplateau                       | Grassland Plateau                       | 0x003F76E4 (   4159204) |
| 104 | byg:greatlakes                             | Great Lakes                             | 0x003F76E4 (   4159204) |
| 105 | byg:grove                                  | Grove                                   | 0x003F76E4 (   4159204) |
| 106 | byg:enchanted_grove                        | Enchanted Grove                         | 0x003F76E4 (   4159204) |
| 107 | byg:guianashield                           | Guiana Shield                           | 0x003F76E4 (   4159204) |
| 108 | byg:jacarandaforest                        | Jacaranda Forest                        | 0x003F76E4 (   4159204) |
| 109 | byg:mangrove_marshes                       | Mangrove Marshes                        | 0x003F76E4 (   4159204) |
| 110 | byg:maple_taiga                            | Maple Taiga                             | 0x003F76E4 (   4159204) |
| 111 | byg:meadow                                 | Meadow                                  | 0x003F76E4 (   4159204) |
| 112 | byg:mojave_desert                          | Mojave Desert                           | 0x003F76E4 (   4159204) |
| 113 | byg:lush_tundra                            | Lush Tundra                             | 0x003F76E4 (   4159204) |
| 114 | byg:orchard                                | Orchard                                 | 0x003F76E4 (   4159204) |
| 115 | byg:prairie                                | Prairie                                 | 0x003F76E4 (   4159204) |
| 116 | byg:reddesert                              | Red Desert                              | 0x003F76E4 (   4159204) |
| 117 | byg:reddesertdunes                         | Red Dunes                               | 0x003F76E4 (   4159204) |
| 118 | byg:redoakforest                           | Red Oak Forest                          | 0x003F76E4 (   4159204) |
| 119 | byg:red_rock_mountains                     | Red Rock Mountains                      | 0x003F76E4 (   4159204) |
| 120 | byg:seasonalbirchforest                    | Seasonal Birch Forest                   | 0x003F76E4 (   4159204) |
| 121 | byg:seasonaldeciduousforest                | Seasonal Deciduous Forest               | 0x003F76E4 (   4159204) |
| 122 | byg:seasonalforest                         | Seasonal Forest                         | 0x003F76E4 (   4159204) |
| 123 | byg:seasonaltaiga                          | Seasonal Taiga                          | 0x003F76E4 (   4159204) |
| 124 | byg:shatteredglacier                       | Shattered Glacier                       | 0x003F76E4 (   4159204) |
| 125 | byg:shrublands                             | Shrublands                              | 0x003F76E4 (   4159204) |
| 126 | byg:skyrishighlands                        | Skyris Highlands                        | 0x003F76E4 (   4159204) |
| 127 | minecraft:the_void                         | The Void                                | 0x003F76E4 (   4159204) |
| 128 | byg:snowybluetaiga                         | Snowy Blue Taiga                        | 0x003F76E4 (   4159204) |
| 129 | minecraft:sunflower_plains                 | Sunflower Plains                        | 0x003F76E4 (   4159204) |
| 130 | minecraft:desert_lakes                     | Desert Lakes                            | 0x003F76E4 (   4159204) |
| 131 | minecraft:gravelly_mountains               | Gravelly Mountains                      | 0x003F76E4 (   4159204) |
| 132 | minecraft:flower_forest                    | Flower Forest                           | 0x003F76E4 (   4159204) |
| 133 | minecraft:taiga_mountains                  | Taiga Mountains                         | 0x003F76E4 (   4159204) |
| 134 | minecraft:swamp_hills                      | Swamp Hills                             | 0x00617B64 (   6388580) |
| 135 | byg:snowyconiferousforest                  | Snowy Coniferous Forest                 | 0x003F76E4 (   4159204) |
| 136 | byg:snowydeciduousforest                   | Snowy Deciduous Forest                  | 0x003F76E4 (   4159204) |
| 137 | byg:snowy_evergreen_taiga                  | Snowy Evergreen Taiga                   | 0x003F76E4 (   4159204) |
| 138 | byg:the_black_forest                       | The Black Forest                        | 0x003F76E4 (   4159204) |
| 139 | byg:tropicalfungalforest                   | Tropical Fungal Rainforest              | 0x003F76E4 (   4159204) |
| 140 | minecraft:ice_spikes                       | Ice Spikes                              | 0x003F76E4 (   4159204) |
| 141 | byg:tropicalrainforest                     | Tropical Rainforest                     | 0x003F76E4 (   4159204) |
| 142 | byg:vibrantswamplands                      | Vibrant Swamplands                      | 0x00617B64 (   6388580) |
| 143 | byg:sierravalley                           | Sierra Valley                           | 0x003F76E4 (   4159204) |
| 144 | byg:weeping_witch_forest                   | Weeping Witch Forest                    | 0x003F76E4 (   4159204) |
| 145 | byg:woodlands                              | Woodlands                               | 0x003F76E4 (   4159204) |
| 146 | byg:zelkovaforest                          | Zelkova Forest                          | 0x003F76E4 (   4159204) |
| 147 | byg:redwood_clearing                       | Redwood Clearing                        | 0x003F76E4 (   4159204) |
| 148 | byg:redwood_mountains                      | Redwood Mountains                       | 0x003F76E4 (   4159204) |
| 149 | minecraft:modified_jungle                  | Modified Jungle                         | 0x003F76E4 (   4159204) |
| 150 | byg:coral_mangroves                        | Coral Mangroves                         | 0x003F76E4 (   4159204) |
| 151 | minecraft:modified_jungle_edge             | Modified Jungle Edge                    | 0x003F76E4 (   4159204) |
| 152 | byg:cika_mountains                         | Cika Mountains                          | 0x003F76E4 (   4159204) |
| 153 | byg:glowing_ancient_forest                 | Glowing Ancient Forest                  | 0x003F76E4 (   4159204) |
| 154 | byg:flowering_ancient_forest               | Flowering Ancient Forest                | 0x003F76E4 (   4159204) |
| 155 | minecraft:tall_birch_forest                | Tall Birch Forest                       | 0x003F76E4 (   4159204) |
| 156 | minecraft:tall_birch_hills                 | Tall Birch Hills                        | 0x003F76E4 (   4159204) |
| 157 | minecraft:dark_forest_hills                | Dark Forest Hills                       | 0x003F76E4 (   4159204) |
| 158 | minecraft:snowy_taiga_mountains            | Snowy Taiga Mountains                   | 0x003D57D6 (   4020182) |
| 159 | byg:snowy_evergreen_clearing               | Snowy Evergreen Clearing                | 0x003F76E4 (   4159204) |
| 160 | minecraft:giant_spruce_taiga               | Giant Spruce Taiga                      | 0x003F76E4 (   4159204) |
| 161 | minecraft:giant_spruce_taiga_hills         | Giant Spruce Taiga Hills                | 0x003F76E4 (   4159204) |
| 162 | minecraft:modified_gravelly_mountains      | Gravelly Mountains+                     | 0x003F76E4 (   4159204) |
| 163 | minecraft:shattered_savanna                | Shattered Savanna                       | 0x003F76E4 (   4159204) |
| 164 | minecraft:shattered_savanna_plateau        | Shattered Savanna Plateau               | 0x003F76E4 (   4159204) |
| 165 | minecraft:eroded_badlands                  | Eroded Badlands                         | 0x003F76E4 (   4159204) |
| 166 | minecraft:modified_wooded_badlands_plateau | Modified Wooded Badlands Plateau        | 0x003F76E4 (   4159204) |
| 167 | minecraft:modified_badlands_plateau        | Modified Badlands Plateau               | 0x003F76E4 (   4159204) |
| 168 | minecraft:bamboo_jungle                    | Bamboo Jungle                           | 0x003F76E4 (   4159204) |
| 169 | minecraft:bamboo_jungle_hills              | Bamboo Jungle Hills                     | 0x003F76E4 (   4159204) |
| 170 | byg:snowy_evergreen_hills                  | Snowy Evergreen Hills                   | 0x003F76E4 (   4159204) |
| 171 | byg:enchanted_forest_hills                 | Enchanted Forest Hills                  | 0x003F76E4 (   4159204) |
| 172 | byg:ebony_hills                            | Ebony Hills                             | 0x003F76E4 (   4159204) |
| 173 | byg:evergreen_clearing                     | Evergreen Clearing                      | 0x003F76E4 (   4159204) |
| 174 | byg:evergreen_hills                        | Evergreen Hills                         | 0x003F76E4 (   4159204) |
| 175 | byg:fungal_patch                           | Fungal Patch                            | 0x003F76E4 (   4159204) |
| 176 | byg:weeping_witch_clearing                 | Weeping Witch Clearing                  | 0x003F76E4 (   4159204) |
| 177 | byg:pumpkin_forest                         | Pumpkin Forest                          | 0x003F76E4 (   4159204) |
| 178 | byg:bamboo_forest                          | Bamboo Forest                           | 0x003F76E4 (   4159204) |
| 179 | byg:cherry_blossom_clearing                | Cherry Blossom Clearing                 | 0x003F76E4 (   4159204) |
| 180 | byg:coniferous_clearing                    | Coniferous Clearing                     | 0x003F76E4 (   4159204) |
| 181 | byg:zelkova_clearing                       | Zelkova Clearing                        | 0x003F76E4 (   4159204) |
| 182 | byg:aspen_clearing                         | Aspen Clearing                          | 0x003F76E4 (   4159204) |
| 183 | byg:boreal_clearing                        | Boreal Clearing                         | 0x003F76E4 (   4159204) |
| 184 | byg:deciduous_clearing                     | Decidous Clearing                       | 0x003F76E4 (   4159204) |
| 185 | byg:seasonal_deciduous_clearing            | Seasonal Deciduous Clearing             | 0x003F76E4 (   4159204) |
| 186 | byg:guiana_clearing                        | Guiana Clearing                         | 0x003F76E4 (   4159204) |
| 187 | byg:jacaranda_clearing                     | Jacaranda Clearing                      | 0x003F76E4 (   4159204) |
| 188 | byg:snowy_coniferous_clearing              | Snowy Coniferous Clearing               | 0x003F76E4 (   4159204) |
| 189 | byg:snowy_deciduous_clearing               | Snowy Deciduous Clearing                | 0x003F76E4 (   4159204) |
| 190 | byg:maple_hills                            | Maple Hills                             | 0x003F76E4 (   4159204) |
| 191 | byg:black_forest_clearing                  | Black Forest Clearing                   | 0x003F76E4 (   4159204) |
| 192 | byg:black_forest_hills                     | Black Forest Hills                      | 0x003F76E4 (   4159204) |
| 193 | byg:forest_fault                           | Forest Fault                            | 0x003F76E4 (   4159204) |
| 194 | byg:flowering_grove                        | Flowering Grove                         | 0x003F76E4 (   4159204) |
| 195 | byg:flowering_enchanted_grove              | Flowering Enchanted Grove               | 0x003F76E4 (   4159204) |
| 196 | byg:northern_forest                        | Northern Forest                         | 0x003F76E4 (   4159204) |
| 197 | byg:lushreddesert                          | Lush Red Desert                         | 0x003F76E4 (   4159204) |
| 198 | byg:sierrarange                            | Sierra Range                            | 0x003F76E4 (   4159204) |
| 199 | byg:alpinefoothills                        | Alpine Foothills                        | 0x003F76E4 (   4159204) |
| 200 | byg:aspenforesthills                       | Aspen Forest Hills                      | 0x003F76E4 (   4159204) |
| 201 | byg:bluetaigahills                         | Blue Taiga Hills                        | 0x003F76E4 (   4159204) |
| 202 | byg:giantbluesprucetaiga                   | Giant Blue Taiga                        | 0x003F76E4 (   4159204) |
| 203 | byg:bluffpeaks                             | Bluff Peaks                             | 0x003F76E4 (   4159204) |
| 204 | byg:borealforesthills                      | Boreal Forest Hills                     | 0x003F76E4 (   4159204) |
| 205 | byg:bog                                    | Bog                                     | 0x008C6B4D (   9202509) |
| 206 | byg:deciduousforesthills                   | Deciduous Forest Hills                  | 0x003F76E4 (   4159204) |
| 207 | byg:coniferousforesthills                  | Coniferous Forest Hills                 | 0x003F76E4 (   4159204) |
| 208 | byg:freshwaterlake                         | Fresh Water Lake                        | 0x003F76E4 (   4159204) |
| 209 | byg:frozenlake                             | Frozen Lake                             | 0x003F76E4 (   4159204) |
| 210 | byg:greatlakeisles                         | Great Lake Isles                        | 0x003F76E4 (   4159204) |
| 211 | byg:jacarandaforesthills                   | Jacaranda Forest Hills                  | 0x003F76E4 (   4159204) |
| 212 | byg:marshlands                             | Marshlands                              | 0x00617B64 (   6388580) |
| 213 | byg:oasis                                  | Oasis                                   | 0x003F76E4 (   4159204) |
| 214 | byg:pollutedlake                           | Polluted Lake                           | 0x008C6B4D (   9202509) |
| 215 | byg:prairieclearing                        | Prairie Clearing                        | 0x003F76E4 (   4159204) |
| 216 | byg:redoakforesthills                      | Red Oak Forest Hills                    | 0x003F76E4 (   4159204) |
| 217 | byg:red_rock_lowlands                      | Red Rock Lowlands                       | 0x003F76E4 (   4159204) |
| 218 | byg:red_rock_highlands                     | Red Rock Highlands                      | 0x003F76E4 (   4159204) |
| 219 | byg:wooded_red_rock_mountains              | Wooded Red Rock Mountains               | 0x003F76E4 (   4159204) |
| 220 | byg:seasonalbirchforesthills               | Seasonal Birch Forest Hills             | 0x003F76E4 (   4159204) |
| 221 | byg:seasonaldeciduousforesthills           | Seasonal Deciduous Forest Hills         | 0x003F76E4 (   4159204) |
| 222 | byg:seasonalforesthills                    | Seasonal Forest Hills                   | 0x003F76E4 (   4159204) |
| 223 | byg:giantseasonalsprucetaiga               | Giant Seasonal Taiga                    | 0x003F76E4 (   4159204) |
| 224 | byg:seasonaltaigahills                     | Seasonal Taiga Hills                    | 0x003F76E4 (   4159204) |
| 225 | byg:snowygiantbluetaiga                    | Giant Snowy Blue Taiga                  | 0x003F76E4 (   4159204) |
| 226 | byg:snowybluetaigahills                    | Snowy Blue Taiga                        | 0x003F76E4 (   4159204) |
| 227 | byg:snowyconiferousforesthills             | Snowy Coniferous Hills                  | 0x003F76E4 (   4159204) |
| 228 | byg:snowydeciduousforesthills              | Snowy Deciduous Forest Hills            | 0x003F76E4 (   4159204) |
| 229 | byg:tropicalfungalrainforesthills          | Tropical Fungal Rainforest Hills        | 0x003F76E4 (   4159204) |
| 230 | byg:tropicalrainforesthills                | Tropical Rainforest Hills               | 0x003F76E4 (   4159204) |
| 231 | byg:woodedgrasslandplateau                 | Wooded Grassland Plateau                | 0x003F76E4 (   4159204) |
| 232 | byg:zelkovaforesthills                     | Zelkova Forest Hills                    | 0x003F76E4 (   4159204) |
| 233 | byg:floweringmeadow                        | Flowering Meadow                        | 0x003F76E4 (   4159204) |
| 234 | byg:woodedmeadow                           | Wooded Meadow                           | 0x003F76E4 (   4159204) |
| 235 | byg:rockybeach                             | Rocky Beach                             | 0x003F76E4 (   4159204) |
| 236 | byg:snowyrockyblackbeach                   | Snowy Rocky Black Beach                 | 0x003F76E4 (   4159204) |
| 237 | byg:snowyblackbeach                        | Snowy Black Beach                       | 0x003F76E4 (   4159204) |
| 238 | byg:whitebeach                             | White Beach                             | 0x003F76E4 (   4159204) |
| 239 | byg:rainbowbeach                           | Rainbow Beach                           | 0x003F76E4 (   4159204) |
| 240 | byg:tropicalisland                         | Tropical Island                         | 0x003F76E4 (   4159204) |
| 241 | byg:warpeddesert                           | Warped Desert                           | 0x003F76E4 (   4159204) |
| 242 | byg:sythiantorrids                         | Sythian Torrids                         | 0x003F76E4 (   4159204) |
| 243 | byg:glowstonegardens                       | Glowstone Gardens                       | 0x003F76E4 (   4159204) |
| 244 | byg:embur_bog                              | Embur Bog                               | 0x003F76E4 (   4159204) |
| 245 | byg:ivis_fields                            | Ivis Fields                             | 0x003F76E4 (   4159204) |
| 246 | mubble:pumpkin_pastures                    | Pumpkin Pastures                        | 0x00025EC8 (    155336) |
| 247 | mubble:pink_cherry_oak_forest              | Pink Cherry Oak Forest                  | 0x00628FFF (   6459391) |
| 248 | mubble:white_cherry_oak_forest             | White Cherry Oak Forest                 | 0x00628FFF (   6459391) |
| 249 | mubble:smw_desert                          | biome.mubble.smw_desert                 | 0x003F76E4 (   4159204) |
| 250 | mubble:press_garden                        | Press Garden                            | 0x003D57D6 (   4020182) |
| 251 | mubble:scarlet_forest                      | Scarlet Forest                          | 0x003F76E4 (   4159204) |
| 252 | extendednether:basalt_deltas               | Basalt Deltas                           | 0x003F76E4 (   4159204) |
| 253 | extendednether:crimson_forest              | Crimson Forest                          | 0x003F76E4 (   4159204) |
| 254 | extendednether:soul_sand_valley            | Soul Sand Valley                        | 0x003F76E4 (   4159204) |
| 255 | extendednether:warped_forest               | Warped Forest                           | 0x003F76E4 (   4159204) |
+-----+--------------------------------------------+-----------------------------------------+-------------------------+
|  ID | Registry name                              | Biome name                              | waterColorMultiplier    |
+-----+--------------------------------------------+-----------------------------------------+-------------------------+
