+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
| Registry name                           | Mob spawns                                                                                                                                                                                                                                                                     | Passive spawns                                |
| byg:seasonal_shrubs                     |                                                                                                                                                                                                                                                                                |                                               |
| byg:shorttropicalrainforest_tree        |                                                                                                                                                                                                                                                                                |                                               |
| byg:shrub                               |                                                                                                                                                                                                                                                                                |                                               |
| byg:skyris_fortress                     | { minecraft:evoker [weight: 3, min: 4, max: 4] }, { minecraft:illusioner [weight: 2, min: 5, max: 5] }, { minecraft:pillager [weight: 1, min: 1, max: 1] }, { minecraft:vex [weight: 8, min: 5, max: 5] }, { minecraft:witch [weight: 5, min: 4, max: 4] }                     |                                               |
| byg:smallbluespruce_tree                |                                                                                                                                                                                                                                                                                |                                               |
| byg:smallorangespruce_tree              |                                                                                                                                                                                                                                                                                |                                               |
| byg:smallredspruce_tree                 |                                                                                                                                                                                                                                                                                |                                               |
| byg:smallyellowspruce_tree              |                                                                                                                                                                                                                                                                                |                                               |
| byg:tallbluespruce_tree                 |                                                                                                                                                                                                                                                                                |                                               |
| byg:tallorangespruce_tree               |                                                                                                                                                                                                                                                                                |                                               |
| byg:tallredspruce_tree                  |                                                                                                                                                                                                                                                                                |                                               |
| byg:tallyellowspruce_tree               |                                                                                                                                                                                                                                                                                |                                               |
| byg:tropicalrainforest_tree             |                                                                                                                                                                                                                                                                                |                                               |
| byg:village                             |                                                                                                                                                                                                                                                                                |                                               |
| byg:wideconiferous_tree                 |                                                                                                                                                                                                                                                                                |                                               |
| byg:yellowbirch_tree                    |                                                                                                                                                                                                                                                                                |                                               |
| byg:yellowdeciduous_tree                |                                                                                                                                                                                                                                                                                |                                               |
| byg:yellowspruce_tree                   |                                                                                                                                                                                                                                                                                |                                               |
| charm:fumarole                          |                                                                                                                                                                                                                                                                                |                                               |
| dungeoncrawl:dungeon                    |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:ash_tree                  |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:bamboo_tree               |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:birch_tree                |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:cherry_tree               |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:fancy_tree                |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:lotus_flowers             |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:maple_tree                |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:noctiluca                 |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:normal_tree               |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:rice_paddy                |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:slate_dungeon             |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:slime_block               |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:tall_dark_oak_tree        |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:wild_leek                 |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:willow_tree               |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:wizard_tower_feature      |                                                                                                                                                                                                                                                                                |                                               |
| explorercraft:wizard_tower_structure    |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:basalt_columns           |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:basalt_pillar            |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:delta_feature            |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:glowstone_blob           |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:huge_fungus              |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:nether_forest_vegetation |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:nether_fossil            |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:netherrack_replace_blobs |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:no_surface_ore           |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:ore                      |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:twisting_vines           |                                                                                                                                                                                                                                                                                |                                               |
| extendednether:weeping_vines            |                                                                                                                                                                                                                                                                                |                                               |
| libraryex:pool                          |                                                                                                                                                                                                                                                                                |                                               |
| libraryex:triple_plant                  |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:acacia_tree                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:bamboo                        |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:block_pile                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:blue_ice                      |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:bonus_chest                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:buried_treasure               |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:chorus_plant                  |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:coral_claw                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:coral_mushroom                |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:coral_tree                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:dark_oak_tree                 |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:decorated                     |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:decorated_flower              |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:desert_pyramid                |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:desert_well                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:disk                          |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:emerald_ore                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:end_city                      |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:end_gateway                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:end_island                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:end_spike                     |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:fancy_tree                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:fill_layer                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:flower                        |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:forest_rock                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:fossil                        |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:freeze_top_layer              |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:glowstone_blob                |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:huge_brown_mushroom           |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:huge_red_mushroom             |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:ice_patch                     |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:ice_spike                     |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:iceberg                       |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:igloo                         |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:jungle_ground_bush            |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:jungle_temple                 |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:kelp                          |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:lake                          |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:mega_jungle_tree              |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:mega_spruce_tree              |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:mineshaft                     |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:monster_room                  |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:nether_bridge                 | { minecraft:blaze [weight: 10, min: 2, max: 3] }, { minecraft:magma_cube [weight: 3, min: 4, max: 4] }, { minecraft:skeleton [weight: 2, min: 5, max: 5] }, { minecraft:wither_skeleton [weight: 8, min: 5, max: 5] }, { minecraft:zombie_pigman [weight: 5, min: 4, max: 4] } |                                               |
| minecraft:no_op                         |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:normal_tree                   |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:ocean_monument                | { minecraft:guardian [weight: 1, min: 2, max: 4] }                                                                                                                                                                                                                             |                                               |
| minecraft:ocean_ruin                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:ore                           |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:pillager_outpost              | { minecraft:pillager [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                             |                                               |
| minecraft:random_boolean_selector       |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:random_patch                  |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:random_random_selector        |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:random_selector               |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:sea_pickle                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:seagrass                      |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:shipwreck                     |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:simple_block                  |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:simple_random_selector        |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:snow_under_trees              |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:spring_feature                |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:stronghold                    |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:swamp_hut                     | { minecraft:witch [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                | { minecraft:cat [weight: 1, min: 1, max: 1] } |
| minecraft:village                       |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:vines                         |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:void_start_platform           |                                                                                                                                                                                                                                                                                |                                               |
| minecraft:woodland_mansion              |                                                                                                                                                                                                                                                                                |                                               |
| netherex:enoki_mushroom                 |                                                                                                                                                                                                                                                                                |                                               |
| netherex:huge_brown_elder_mushroom      |                                                                                                                                                                                                                                                                                |                                               |
| netherex:huge_red_elder_mushroom        |                                                                                                                                                                                                                                                                                |                                               |
| quark:big_dungeon                       | { minecraft:creeper [weight: 8, min: 1, max: 3] }, { minecraft:illusioner [weight: 10, min: 1, max: 1] }, { minecraft:skeleton [weight: 8, min: 1, max: 3] }, { minecraft:witch [weight: 4, min: 1, max: 1] }, { minecraft:zombie [weight: 8, min: 1, max: 3] }                |                                               |
| towers_of_the_wild:tower                |                                                                                                                                                                                                                                                                                |                                               |
| waystones:mossy_waystone                |                                                                                                                                                                                                                                                                                |                                               |
| waystones:sandy_waystone                |                                                                                                                                                                                                                                                                                |                                               |
| waystones:waystone                      |                                                                                                                                                                                                                                                                                |                                               |
+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
| Registry name                           | Mob spawns                                                                                                                                                                                                                                                                     | Passive spawns                                |
+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
