+----------------------------+---------------------------------------------------------+---------------------------------------------------------+-----------------------------------------------------+--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                   | Registry name                                           | Item ID                                                 | Display name                                        | Exists | Tags                                                                                                                                                                                                    |
| Applied Energistics 2      | appliedenergistics2:chiseled_quartz_slab                | appliedenergistics2:chiseled_quartz_slab                | Chiseled Certus Quartz Slabs                        | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:chiseled_quartz_stairs              | appliedenergistics2:chiseled_quartz_stairs              | Chiseled Certus Quartz Stairs                       | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:condenser                           | appliedenergistics2:condenser                           | Matter Condenser                                    | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:controller                          | appliedenergistics2:controller                          | ME Controller                                       | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:crafting_accelerator                | appliedenergistics2:crafting_accelerator                | Crafting Co-Processing Unit                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:crafting_monitor                    | appliedenergistics2:crafting_monitor                    | Crafting Monitor                                    | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:crafting_unit                       | appliedenergistics2:crafting_unit                       | Crafting Unit                                       | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:crank                               | appliedenergistics2:crank                               | Wooden Crank                                        | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:creative_energy_cell                | appliedenergistics2:creative_energy_cell                | Creative Energy Cell                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:debug_chunk_loader                  | appliedenergistics2:debug_chunk_loader                  | Dev.ChunkLoader                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:debug_cube_gen                      | appliedenergistics2:debug_cube_gen                      | Dev.CubeGen                                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:debug_energy_gen                    | appliedenergistics2:debug_energy_gen                    | Dev.EnergyGen                                       | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:debug_item_gen                      | appliedenergistics2:debug_item_gen                      | Dev.ItemGen                                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:debug_phantom_node                  | appliedenergistics2:debug_phantom_node                  | Dev.PhantomNode                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:dense_energy_cell                   | appliedenergistics2:dense_energy_cell                   | Dense Energy Cell                                   | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:drive                               | appliedenergistics2:drive                               | ME Drive                                            | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:energy_acceptor                     | appliedenergistics2:energy_acceptor                     | Energy Acceptor                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:energy_cell                         | appliedenergistics2:energy_cell                         | Energy Cell                                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:fluid_interface                     | appliedenergistics2:fluid_interface                     | ME Fluid Interface                                  | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:fluix_block                         | appliedenergistics2:fluix_block                         | Fluix Block                                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:fluix_slab                          | appliedenergistics2:fluix_slab                          | Fluix Slabs                                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:fluix_stairs                        | appliedenergistics2:fluix_stairs                        | Fluix Stairs                                        | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:grindstone                          | appliedenergistics2:grindstone                          | Quartz Grindstone                                   | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:inscriber                           | appliedenergistics2:inscriber                           | Inscriber                                           | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:interface                           | appliedenergistics2:interface                           | ME Interface                                        | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:io_port                             | appliedenergistics2:io_port                             | ME IO Port                                          | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:light_detector                      | appliedenergistics2:light_detector                      | Light Detecting Fixture                             | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:matrix_frame                        | appliedenergistics2:matrix_frame                        | Matrix Frame                                        | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:molecular_assembler                 | appliedenergistics2:molecular_assembler                 | Molecular Assembler                                 | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:paint                               | appliedenergistics2:paint                               | block.appliedenergistics2.paint                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quantum_link                        | appliedenergistics2:quantum_link                        | ME Quantum Link Chamber                             | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quantum_ring                        | appliedenergistics2:quantum_ring                        | ME Quantum Ring                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_block                        | appliedenergistics2:quartz_block                        | Certus Quartz Block                                 | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_fixture                      | appliedenergistics2:quartz_fixture                      | Charged Quartz Fixture                              | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_glass                        | appliedenergistics2:quartz_glass                        | Quartz Glass                                        | true   | appliedenergistics2:whitelisted/facades                                                                                                                                                                 |
| Applied Energistics 2      | appliedenergistics2:quartz_growth_accelerator           | appliedenergistics2:quartz_growth_accelerator           | Crystal Growth Accelerator                          | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_ore                          | appliedenergistics2:quartz_ore                          | Certus Quartz Ore                                   | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_pillar                       | appliedenergistics2:quartz_pillar                       | Certus Quartz Pillar                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_pillar_slab                  | appliedenergistics2:quartz_pillar_slab                  | Certus Quartz Pillar Slabs                          | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_pillar_stairs                | appliedenergistics2:quartz_pillar_stairs                | Certus Quartz Pillar Stairs                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_slab                         | appliedenergistics2:quartz_slab                         | Certus Quartz Slabs                                 | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_stairs                       | appliedenergistics2:quartz_stairs                       | Certus Quartz Stairs                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:quartz_vibrant_glass                | appliedenergistics2:quartz_vibrant_glass                | Vibrant Quartz Glass                                | true   | appliedenergistics2:whitelisted/facades                                                                                                                                                                 |
| Applied Energistics 2      | appliedenergistics2:security_station                    | appliedenergistics2:security_station                    | ME Security Terminal                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_compass                         | appliedenergistics2:sky_compass                         | Meteorite Compass                                   | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_block                     | appliedenergistics2:sky_stone_block                     | Sky Stone                                           | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_brick                     | appliedenergistics2:sky_stone_brick                     | Sky Stone Brick                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_brick_slab                | appliedenergistics2:sky_stone_brick_slab                | Sky Stone Brick Slabs                               | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_brick_stairs              | appliedenergistics2:sky_stone_brick_stairs              | Sky Stone Brick Stairs                              | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_chest                     | appliedenergistics2:sky_stone_chest                     | Sky Stone Chest                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_slab                      | appliedenergistics2:sky_stone_slab                      | Sky Stone Slabs                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_small_brick               | appliedenergistics2:sky_stone_small_brick               | Sky Stone Small Brick                               | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_small_brick_slab          | appliedenergistics2:sky_stone_small_brick_slab          | Sky Stone Small Brick Slabs                         | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_small_brick_stairs        | appliedenergistics2:sky_stone_small_brick_stairs        | Sky Stone Small Brick Stairs                        | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:sky_stone_stairs                    | appliedenergistics2:sky_stone_stairs                    | Sky Stone Stairs                                    | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_block              | appliedenergistics2:smooth_sky_stone_block              | Sky Stone Block                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_chest              | appliedenergistics2:smooth_sky_stone_chest              | Sky Stone Block Chest                               | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_slab               | appliedenergistics2:smooth_sky_stone_slab               | Sky Stone Block Slabs                               | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_stairs             | appliedenergistics2:smooth_sky_stone_stairs             | Sky Stone Block Stairs                              | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:spatial_io_port                     | appliedenergistics2:spatial_io_port                     | Spatial IO Port                                     | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:spatial_pylon                       | appliedenergistics2:spatial_pylon                       | Spatial Pylon                                       | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:tiny_tnt                            | appliedenergistics2:tiny_tnt                            | Tiny TNT                                            | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:vibration_chamber                   | appliedenergistics2:vibration_chamber                   | Vibration Chamber                                   | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:wireless_access_point               | appliedenergistics2:wireless_access_point               | ME Wireless Access Point                            | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:argent_block                                 | doomweapon:argent_block                                 | Argent Block                                        | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:argent_lamp_block                            | doomweapon:argent_lamp_block                            | Argent Lamp                                         | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:barrel                                       | doomweapon:barrel                                       | Barrel                                              | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:doom_sand                                    | doomweapon:doom_sand                                    | Doom Soul Block                                     | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall1                                   | doomweapon:icon_wall1                                   | Icon of Sin Wall 1                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall10                                  | doomweapon:icon_wall10                                  | Icon of Sin Wall 10                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall11                                  | doomweapon:icon_wall11                                  | Icon of Sin Wall 11                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall12                                  | doomweapon:icon_wall12                                  | Icon of Sin Wall 12                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall13                                  | doomweapon:icon_wall13                                  | Icon of Sin Wall 13                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall14                                  | doomweapon:icon_wall14                                  | Icon of Sin Wall 14                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall15                                  | doomweapon:icon_wall15                                  | Icon of Sin Wall 15                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall16                                  | doomweapon:icon_wall16                                  | Icon of Sin Wall 16                                 | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall2                                   | doomweapon:icon_wall2                                   | Icon of Sin Wall 2                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall3                                   | doomweapon:icon_wall3                                   | Icon of Sin Wall 3                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall4                                   | doomweapon:icon_wall4                                   | Icon of Sin Wall 4                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall5                                   | doomweapon:icon_wall5                                   | Icon of Sin Wall 5                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall6                                   | doomweapon:icon_wall6                                   | Icon of Sin Wall 6                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall7                                   | doomweapon:icon_wall7                                   | Icon of Sin Wall 7                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall8                                   | doomweapon:icon_wall8                                   | Icon of Sin Wall 8                                  | true   |                                                                                                                                                                                                         |
| Azuredooms Doom Mod        | doomweapon:icon_wall9                                   | doomweapon:icon_wall9                                   | Icon of Sin Wall 9                                  | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:blackbearhead_black                   | betteranimalsplus:blackbearhead_black                   | Bear Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:blackbearhead_kermode                 | betteranimalsplus:blackbearhead_kermode                 | Bear Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:boarhead_1                            | betteranimalsplus:boarhead_1                            | Boar Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:boarhead_2                            | betteranimalsplus:boarhead_2                            | Boar Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:boarhead_3                            | betteranimalsplus:boarhead_3                            | Boar Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:boarhead_4                            | betteranimalsplus:boarhead_4                            | Boar Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:brownbearhead_1                       | betteranimalsplus:brownbearhead_1                       | Bear Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:coyotehead_1                          | betteranimalsplus:coyotehead_1                          | Coyote Head                                         | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:deerhead_1                            | betteranimalsplus:deerhead_1                            | Deer Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:deerhead_2                            | betteranimalsplus:deerhead_2                            | Deer Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:deerhead_3                            | betteranimalsplus:deerhead_3                            | Deer Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:deerhead_4                            | betteranimalsplus:deerhead_4                            | Deer Head                                           | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_arctic                  | betteranimalsplus:feralwolfhead_arctic                  | Feral Wolf Head                                     | true   |                                                                                                                                                                                                         |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_black                   | betteranimalsplus:feralwolfhead_black                   | Feral Wolf Head                                     | true   |                                                                                                                                                                                                         |
