+---------------------------------------------------------+------+
| Registry name                                           |   ID |
| extendednether:ambient.nether.warped_forest.loop        | 1159 |
| extendednether:ambient.nether.warped_forest.mood        | 1161 |
| extendednether:block.ancient_debris.break               | 1162 |
| extendednether:block.basalt.break                       | 1163 |
| extendednether:block.basalt.step                        | 1164 |
| extendednether:block.chain.break                        | 1165 |
| extendednether:block.chain.step                         | 1166 |
| extendednether:block.fungus.break                       | 1167 |
| extendednether:block.nether_ore.break                   | 1168 |
| extendednether:block.nether_ore.step                    | 1169 |
| extendednether:block.nether_sprouts.break               | 1170 |
| extendednether:block.nether_sprouts.step                | 1171 |
| extendednether:block.netherite_break                    | 1189 |
| extendednether:block.netherite_step                     | 1190 |
| extendednether:block.netherrack.break                   | 1172 |
| extendednether:block.netherrack.step                    | 1173 |
| extendednether:block.netherwart.break                   | 1174 |
| extendednether:block.netherwart.step                    | 1175 |
| extendednether:block.nylium.break                       | 1176 |
| extendednether:block.nylium.step                        | 1177 |
| extendednether:block.roots.break                        | 1178 |
| extendednether:block.roots.step                         | 1179 |
| extendednether:block.shroomlight.break                  | 1180 |
| extendednether:block.shroomlight.step                   | 1181 |
| extendednether:block.soul_sand.break                    | 1182 |
| extendednether:block.soul_sand.step                     | 1183 |
| extendednether:block.soul_soil.break                    | 1184 |
| extendednether:block.soul_soil.step                     | 1185 |
| extendednether:block.stem.break                         | 1186 |
| extendednether:block.stem.step                          | 1187 |
| extendednether:block.vine.climb                         | 1188 |
| extendednether:mob.hoglin.angry                         | 1199 |
| extendednether:mob.hoglin.attack                        | 1200 |
| extendednether:mob.hoglin.converted                     | 1201 |
| extendednether:mob.hoglin.death                         | 1202 |
| extendednether:mob.hoglin.hurt                          | 1203 |
| extendednether:mob.hoglin.idle                          | 1204 |
| extendednether:mob.hoglin.retreat                       | 1205 |
| extendednether:mob.hoglin.step                          | 1206 |
| extendednether:mob.piglin.admire                        | 1213 |
| extendednether:mob.piglin.angry                         | 1214 |
| extendednether:mob.piglin.celebrate                     | 1215 |
| extendednether:mob.piglin.converted                     | 1216 |
| extendednether:mob.piglin.death                         | 1217 |
| extendednether:mob.piglin.hurt                          | 1218 |
| extendednether:mob.piglin.idle                          | 1219 |
| extendednether:mob.piglin.jealous                       | 1220 |
| extendednether:mob.piglin.retreat                       | 1221 |
| extendednether:mob.piglin.step                          | 1222 |
| extendednether:mob.strider.death                        | 1191 |
| extendednether:mob.strider.eat                          | 1192 |
| extendednether:mob.strider.happy                        | 1193 |
| extendednether:mob.strider.hurt                         | 1194 |
| extendednether:mob.strider.idle                         | 1195 |
| extendednether:mob.strider.retreat                      | 1196 |
| extendednether:mob.strider.step                         | 1197 |
| extendednether:mob.strider.step_lava                    | 1198 |
| extendednether:mob.zoglin.angry                         | 1207 |
| extendednether:mob.zoglin.attack                        | 1208 |
| extendednether:mob.zoglin.death                         | 1209 |
| extendednether:mob.zoglin.hurt                          | 1210 |
| extendednether:mob.zoglin.idle                          | 1211 |
| extendednether:mob.zoglin.step                          | 1212 |
| fairylights:cord.connect                                |  821 |
| fairylights:cord.disconnect                             |  822 |
| fairylights:cord.snap                                   |  823 |
| fairylights:cord.stretch                                |  820 |
| fairylights:feature.color_change                        |  825 |
| fairylights:feature.light_turnoff                       |  827 |
| fairylights:feature.light_turnon                        |  826 |
| fairylights:jingle_bell                                 |  824 |
| farmingforblockheads:falling                            |  932 |
| ffs:bird                                                |  933 |
| fluxnetworks:button                                     | 1046 |
| futureversions:activatebell                             | 1047 |
| futureversions:pigstep                                  | 1048 |
| minecraft:ambient.cave                                  |    0 |
| minecraft:ambient.underwater.enter                      |    1 |
| minecraft:ambient.underwater.exit                       |    2 |
| minecraft:ambient.underwater.loop                       |    3 |
| minecraft:ambient.underwater.loop.additions             |    4 |
| minecraft:ambient.underwater.loop.additions.rare        |    5 |
| minecraft:ambient.underwater.loop.additions.ultra_rare  |    6 |
| minecraft:block.anvil.break                             |    7 |
| minecraft:block.anvil.destroy                           |    8 |
| minecraft:block.anvil.fall                              |    9 |
| minecraft:block.anvil.hit                               |   10 |
| minecraft:block.anvil.land                              |   11 |
| minecraft:block.anvil.place                             |   12 |
| minecraft:block.anvil.step                              |   13 |
| minecraft:block.anvil.use                               |   14 |
| minecraft:block.bamboo.break                            |   31 |
| minecraft:block.bamboo.fall                             |   32 |
| minecraft:block.bamboo.hit                              |   33 |
| minecraft:block.bamboo.place                            |   34 |
| minecraft:block.bamboo.step                             |   35 |
| minecraft:block.bamboo_sapling.break                    |   36 |
| minecraft:block.bamboo_sapling.hit                      |   37 |
| minecraft:block.bamboo_sapling.place                    |   38 |
| minecraft:block.barrel.close                            |   39 |
| minecraft:block.barrel.open                             |   40 |
| minecraft:block.beacon.activate                         |   46 |
| minecraft:block.beacon.ambient                          |   47 |
| minecraft:block.beacon.deactivate                       |   48 |
| minecraft:block.beacon.power_select                     |   49 |
| minecraft:block.beehive.drip                            |   56 |
| minecraft:block.beehive.enter                           |   57 |
| minecraft:block.beehive.exit                            |   58 |
| minecraft:block.beehive.shear                           |   59 |
| minecraft:block.beehive.work                            |   60 |
| minecraft:block.bell.resonate                           |   62 |
| minecraft:block.bell.use                                |   61 |
| minecraft:block.blastfurnace.fire_crackle               |   75 |
| minecraft:block.brewing_stand.brew                      |   79 |
| minecraft:block.bubble_column.bubble_pop                |   80 |
| minecraft:block.bubble_column.upwards_ambient           |   81 |
| minecraft:block.bubble_column.upwards_inside            |   82 |
| minecraft:block.bubble_column.whirlpool_ambient         |   83 |
| minecraft:block.bubble_column.whirlpool_inside          |   84 |
| minecraft:block.campfire.crackle                        |   91 |
| minecraft:block.chest.close                             |  101 |
| minecraft:block.chest.locked                            |  102 |
| minecraft:block.chest.open                              |  103 |
| minecraft:block.chorus_flower.death                     |  109 |
| minecraft:block.chorus_flower.grow                      |  110 |
| minecraft:block.comparator.click                        |  121 |
| minecraft:block.composter.empty                         |  122 |
| minecraft:block.composter.fill                          |  123 |
| minecraft:block.composter.fill_success                  |  124 |
| minecraft:block.composter.ready                         |  125 |
| minecraft:block.conduit.activate                        |  126 |
| minecraft:block.conduit.ambient                         |  127 |
| minecraft:block.conduit.ambient.short                   |  128 |
| minecraft:block.conduit.attack.target                   |  129 |
| minecraft:block.conduit.deactivate                      |  130 |
| minecraft:block.coral_block.break                       |  281 |
| minecraft:block.coral_block.fall                        |  282 |
| minecraft:block.coral_block.hit                         |  283 |
| minecraft:block.coral_block.place                       |  284 |
| minecraft:block.coral_block.step                        |  285 |
| minecraft:block.crop.break                              |  139 |
| minecraft:block.dispenser.dispense                      |  149 |
| minecraft:block.dispenser.fail                          |  150 |
| minecraft:block.dispenser.launch                        |  151 |
| minecraft:block.enchantment_table.use                   |  186 |
| minecraft:block.end_gateway.spawn                       |  209 |
| minecraft:block.end_portal.spawn                        |  211 |
| minecraft:block.end_portal_frame.fill                   |  210 |
| minecraft:block.ender_chest.close                       |  187 |
| minecraft:block.ender_chest.open                        |  188 |
| minecraft:block.fence_gate.close                        |  223 |
| minecraft:block.fence_gate.open                         |  224 |
| minecraft:block.fire.ambient                            |  234 |
| minecraft:block.fire.extinguish                         |  235 |
| minecraft:block.furnace.fire_crackle                    |  248 |
| minecraft:block.glass.break                             |  266 |
| minecraft:block.glass.fall                              |  267 |
| minecraft:block.glass.hit                               |  268 |
| minecraft:block.glass.place                             |  269 |
| minecraft:block.glass.step                              |  270 |
| minecraft:block.grass.break                             |  271 |
| minecraft:block.grass.fall                              |  272 |
| minecraft:block.grass.hit                               |  273 |
| minecraft:block.grass.place                             |  274 |
| minecraft:block.grass.step                              |  275 |
| minecraft:block.gravel.break                            |  286 |
| minecraft:block.gravel.fall                             |  287 |
| minecraft:block.gravel.hit                              |  288 |
| minecraft:block.gravel.place                            |  289 |
| minecraft:block.gravel.step                             |  290 |
| minecraft:block.grindstone.use                          |  291 |
| minecraft:block.honey_block.break                       |  301 |
| minecraft:block.honey_block.fall                        |  302 |
| minecraft:block.honey_block.hit                         |  303 |
| minecraft:block.honey_block.place                       |  304 |
| minecraft:block.honey_block.slide                       |  305 |
| minecraft:block.honey_block.step                        |  306 |
| minecraft:block.iron_door.close                         |  347 |
| minecraft:block.iron_door.open                          |  348 |
| minecraft:block.iron_trapdoor.close                     |  355 |
| minecraft:block.iron_trapdoor.open                      |  356 |
| minecraft:block.ladder.break                            |  364 |
| minecraft:block.ladder.fall                             |  365 |
| minecraft:block.ladder.hit                              |  366 |
| minecraft:block.ladder.place                            |  367 |
| minecraft:block.ladder.step                             |  368 |
| minecraft:block.lantern.break                           |  369 |
| minecraft:block.lantern.fall                            |  370 |
| minecraft:block.lantern.hit                             |  371 |
| minecraft:block.lantern.place                           |  372 |
| minecraft:block.lantern.step                            |  373 |
| minecraft:block.lava.ambient                            |  374 |
| minecraft:block.lava.extinguish                         |  375 |
| minecraft:block.lava.pop                                |  376 |
| minecraft:block.lever.click                             |  379 |
| minecraft:block.lily_pad.place                          |  735 |
| minecraft:block.metal.break                             |  396 |
| minecraft:block.metal.fall                              |  397 |
| minecraft:block.metal.hit                               |  398 |
| minecraft:block.metal.place                             |  399 |
| minecraft:block.metal.step                              |  402 |
| minecraft:block.metal_pressure_plate.click_off          |  400 |
| minecraft:block.metal_pressure_plate.click_on           |  401 |
| minecraft:block.nether_wart.break                       |  422 |
| minecraft:block.note_block.banjo                        |  439 |
| minecraft:block.note_block.basedrum                     |  424 |
| minecraft:block.note_block.bass                         |  425 |
| minecraft:block.note_block.bell                         |  426 |
| minecraft:block.note_block.bit                          |  438 |
| minecraft:block.note_block.chime                        |  427 |
| minecraft:block.note_block.cow_bell                     |  436 |
| minecraft:block.note_block.didgeridoo                   |  437 |
| minecraft:block.note_block.flute                        |  428 |
| minecraft:block.note_block.guitar                       |  429 |
| minecraft:block.note_block.harp                         |  430 |
| minecraft:block.note_block.hat                          |  431 |
| minecraft:block.note_block.iron_xylophone               |  435 |
| minecraft:block.note_block.pling                        |  432 |
| minecraft:block.note_block.snare                        |  433 |
| minecraft:block.note_block.xylophone                    |  434 |
| minecraft:block.piston.contract                         |  505 |
| minecraft:block.piston.extend                           |  506 |
| minecraft:block.portal.ambient                          |  532 |
| minecraft:block.portal.travel                           |  533 |
| minecraft:block.portal.trigger                          |  534 |
| minecraft:block.pumpkin.carve                           |  542 |
| minecraft:block.redstone_torch.burnout                  |  561 |
| minecraft:block.sand.break                              |  566 |
| minecraft:block.sand.fall                               |  567 |
| minecraft:block.sand.hit                                |  568 |
| minecraft:block.sand.place                              |  569 |
| minecraft:block.sand.step                               |  570 |
| minecraft:block.scaffolding.break                       |  571 |
| minecraft:block.scaffolding.fall                        |  572 |
| minecraft:block.scaffolding.hit                         |  573 |
| minecraft:block.scaffolding.place                       |  574 |
| minecraft:block.scaffolding.step                        |  575 |
| minecraft:block.shulker_box.close                       |  585 |
| minecraft:block.shulker_box.open                        |  586 |
| minecraft:block.slime_block.break                       |  618 |
| minecraft:block.slime_block.fall                        |  619 |
| minecraft:block.slime_block.hit                         |  620 |
| minecraft:block.slime_block.place                       |  621 |
| minecraft:block.slime_block.step                        |  622 |
| minecraft:block.smoker.smoke                            |  630 |
| minecraft:block.snow.break                              |  632 |
| minecraft:block.snow.fall                               |  633 |
| minecraft:block.snow.hit                                |  638 |
| minecraft:block.snow.place                              |  639 |
| minecraft:block.snow.step                               |  640 |
| minecraft:block.stone.break                             |  651 |
| minecraft:block.stone.fall                              |  654 |
| minecraft:block.stone.hit                               |  655 |
| minecraft:block.stone.place                             |  656 |
| minecraft:block.stone.step                              |  659 |
| minecraft:block.stone_button.click_off                  |  652 |
| minecraft:block.stone_button.click_on                   |  653 |
| minecraft:block.stone_pressure_plate.click_off          |  657 |
| minecraft:block.stone_pressure_plate.click_on           |  658 |
| minecraft:block.sweet_berry_bush.break                  |  664 |
| minecraft:block.sweet_berry_bush.place                  |  665 |
| minecraft:block.tripwire.attach                         |  678 |
| minecraft:block.tripwire.click_off                      |  679 |
| minecraft:block.tripwire.click_on                       |  680 |
| minecraft:block.tripwire.detach                         |  681 |
| minecraft:block.water.ambient                           |  746 |
| minecraft:block.wet_grass.break                         |  276 |
| minecraft:block.wet_grass.fall                          |  277 |
| minecraft:block.wet_grass.hit                           |  278 |
| minecraft:block.wet_grass.place                         |  279 |
| minecraft:block.wet_grass.step                          |  280 |
| minecraft:block.wood.break                              |  778 |
| minecraft:block.wood.fall                               |  781 |
| minecraft:block.wood.hit                                |  782 |
| minecraft:block.wood.place                              |  783 |
| minecraft:block.wood.step                               |  786 |
| minecraft:block.wooden_button.click_off                 |  779 |
| minecraft:block.wooden_button.click_on                  |  780 |
| minecraft:block.wooden_door.close                       |  774 |
| minecraft:block.wooden_door.open                        |  775 |
| minecraft:block.wooden_pressure_plate.click_off         |  784 |
| minecraft:block.wooden_pressure_plate.click_on          |  785 |
| minecraft:block.wooden_trapdoor.close                   |  776 |
| minecraft:block.wooden_trapdoor.open                    |  777 |
| minecraft:block.wool.break                              |  112 |
| minecraft:block.wool.fall                               |  113 |
| minecraft:block.wool.hit                                |  114 |
| minecraft:block.wool.place                              |  115 |
| minecraft:block.wool.step                               |  116 |
| minecraft:enchant.thorns.hit                            |  667 |
| minecraft:entity.armor_stand.break                      |   23 |
| minecraft:entity.armor_stand.fall                       |   24 |
| minecraft:entity.armor_stand.hit                        |   25 |
| minecraft:entity.armor_stand.place                      |   26 |
| minecraft:entity.arrow.hit                              |   27 |
| minecraft:entity.arrow.hit_player                       |   28 |
| minecraft:entity.arrow.shoot                            |   29 |
| minecraft:entity.bat.ambient                            |   41 |
| minecraft:entity.bat.death                              |   42 |
| minecraft:entity.bat.hurt                               |   43 |
| minecraft:entity.bat.loop                               |   44 |
| minecraft:entity.bat.takeoff                            |   45 |
| minecraft:entity.bee.death                              |   50 |
| minecraft:entity.bee.hurt                               |   51 |
| minecraft:entity.bee.loop                               |   53 |
| minecraft:entity.bee.loop_aggressive                    |   52 |
| minecraft:entity.bee.pollinate                          |   55 |
| minecraft:entity.bee.sting                              |   54 |
| minecraft:entity.blaze.ambient                          |   63 |
| minecraft:entity.blaze.burn                             |   64 |
| minecraft:entity.blaze.death                            |   65 |
| minecraft:entity.blaze.hurt                             |   66 |
| minecraft:entity.blaze.shoot                            |   67 |
| minecraft:entity.boat.paddle_land                       |   68 |
| minecraft:entity.boat.paddle_water                      |   69 |
| minecraft:entity.cat.ambient                            |   92 |
| minecraft:entity.cat.beg_for_food                       |   97 |
| minecraft:entity.cat.death                              |   94 |
| minecraft:entity.cat.eat                                |   95 |
| minecraft:entity.cat.hiss                               |   96 |
| minecraft:entity.cat.hurt                               |   98 |
| minecraft:entity.cat.purr                               |   99 |
| minecraft:entity.cat.purreow                            |  100 |
| minecraft:entity.cat.stray_ambient                      |   93 |
| minecraft:entity.chicken.ambient                        |  104 |
| minecraft:entity.chicken.death                          |  105 |
| minecraft:entity.chicken.egg                            |  106 |
| minecraft:entity.chicken.hurt                           |  107 |
| minecraft:entity.chicken.step                           |  108 |
| minecraft:entity.cod.ambient                            |  117 |
| minecraft:entity.cod.death                              |  118 |
| minecraft:entity.cod.flop                               |  119 |
| minecraft:entity.cod.hurt                               |  120 |
| minecraft:entity.cow.ambient                            |  131 |
| minecraft:entity.cow.death                              |  132 |
| minecraft:entity.cow.hurt                               |  133 |
| minecraft:entity.cow.milk                               |  134 |
| minecraft:entity.cow.step                               |  135 |
| minecraft:entity.creeper.death                          |  136 |
| minecraft:entity.creeper.hurt                           |  137 |
| minecraft:entity.creeper.primed                         |  138 |
| minecraft:entity.dolphin.ambient                        |  152 |
| minecraft:entity.dolphin.ambient_water                  |  153 |
| minecraft:entity.dolphin.attack                         |  154 |
| minecraft:entity.dolphin.death                          |  155 |
| minecraft:entity.dolphin.eat                            |  156 |
| minecraft:entity.dolphin.hurt                           |  157 |
| minecraft:entity.dolphin.jump                           |  158 |
| minecraft:entity.dolphin.play                           |  159 |
| minecraft:entity.dolphin.splash                         |  160 |
| minecraft:entity.dolphin.swim                           |  161 |
| minecraft:entity.donkey.ambient                         |  162 |
| minecraft:entity.donkey.angry                           |  163 |
| minecraft:entity.donkey.chest                           |  164 |
| minecraft:entity.donkey.death                           |  165 |
| minecraft:entity.donkey.hurt                            |  166 |
| minecraft:entity.dragon_fireball.explode                |  191 |
| minecraft:entity.drowned.ambient                        |  167 |
| minecraft:entity.drowned.ambient_water                  |  168 |
| minecraft:entity.drowned.death                          |  169 |
| minecraft:entity.drowned.death_water                    |  170 |
| minecraft:entity.drowned.hurt                           |  171 |
| minecraft:entity.drowned.hurt_water                     |  172 |
| minecraft:entity.drowned.shoot                          |  173 |
| minecraft:entity.drowned.step                           |  174 |
| minecraft:entity.drowned.swim                           |  175 |
| minecraft:entity.egg.throw                              |  176 |
| minecraft:entity.elder_guardian.ambient                 |  177 |
| minecraft:entity.elder_guardian.ambient_land            |  178 |
| minecraft:entity.elder_guardian.curse                   |  179 |
| minecraft:entity.elder_guardian.death                   |  180 |
| minecraft:entity.elder_guardian.death_land              |  181 |
| minecraft:entity.elder_guardian.flop                    |  182 |
| minecraft:entity.elder_guardian.hurt                    |  183 |
| minecraft:entity.elder_guardian.hurt_land               |  184 |
| minecraft:entity.ender_dragon.ambient                   |  189 |
| minecraft:entity.ender_dragon.death                     |  190 |
| minecraft:entity.ender_dragon.flap                      |  192 |
| minecraft:entity.ender_dragon.growl                     |  193 |
| minecraft:entity.ender_dragon.hurt                      |  194 |
| minecraft:entity.ender_dragon.shoot                     |  195 |
| minecraft:entity.ender_eye.death                        |  196 |
| minecraft:entity.ender_eye.launch                       |  197 |
| minecraft:entity.ender_pearl.throw                      |  208 |
| minecraft:entity.enderman.ambient                       |  198 |
| minecraft:entity.enderman.death                         |  199 |
| minecraft:entity.enderman.hurt                          |  200 |
| minecraft:entity.enderman.scream                        |  201 |
| minecraft:entity.enderman.stare                         |  202 |
| minecraft:entity.enderman.teleport                      |  203 |
| minecraft:entity.endermite.ambient                      |  204 |
| minecraft:entity.endermite.death                        |  205 |
| minecraft:entity.endermite.hurt                         |  206 |
| minecraft:entity.endermite.step                         |  207 |
| minecraft:entity.evoker.ambient                         |  212 |
| minecraft:entity.evoker.cast_spell                      |  213 |
| minecraft:entity.evoker.celebrate                       |  214 |
| minecraft:entity.evoker.death                           |  215 |
| minecraft:entity.evoker.hurt                            |  217 |
| minecraft:entity.evoker.prepare_attack                  |  218 |
| minecraft:entity.evoker.prepare_summon                  |  219 |
| minecraft:entity.evoker.prepare_wololo                  |  220 |
| minecraft:entity.evoker_fangs.attack                    |  216 |
| minecraft:entity.experience_bottle.throw                |  221 |
| minecraft:entity.experience_orb.pickup                  |  222 |
| minecraft:entity.firework_rocket.blast                  |  226 |
| minecraft:entity.firework_rocket.blast_far              |  227 |
| minecraft:entity.firework_rocket.large_blast            |  228 |
| minecraft:entity.firework_rocket.large_blast_far        |  229 |
| minecraft:entity.firework_rocket.launch                 |  230 |
| minecraft:entity.firework_rocket.shoot                  |  231 |
| minecraft:entity.firework_rocket.twinkle                |  232 |
| minecraft:entity.firework_rocket.twinkle_far            |  233 |
| minecraft:entity.fish.swim                              |  236 |
| minecraft:entity.fishing_bobber.retrieve                |   72 |
| minecraft:entity.fishing_bobber.splash                  |   73 |
| minecraft:entity.fishing_bobber.throw                   |   74 |
| minecraft:entity.fox.aggro                              |  238 |
| minecraft:entity.fox.ambient                            |  239 |
| minecraft:entity.fox.bite                               |  240 |
| minecraft:entity.fox.death                              |  241 |
| minecraft:entity.fox.eat                                |  242 |
| minecraft:entity.fox.hurt                               |  243 |
| minecraft:entity.fox.screech                            |  244 |
| minecraft:entity.fox.sleep                              |  245 |
| minecraft:entity.fox.sniff                              |  246 |
| minecraft:entity.fox.spit                               |  247 |
| minecraft:entity.generic.big_fall                       |  249 |
| minecraft:entity.generic.burn                           |  250 |
| minecraft:entity.generic.death                          |  251 |
| minecraft:entity.generic.drink                          |  252 |
| minecraft:entity.generic.eat                            |  253 |
| minecraft:entity.generic.explode                        |  254 |
| minecraft:entity.generic.extinguish_fire                |  255 |
| minecraft:entity.generic.hurt                           |  256 |
| minecraft:entity.generic.small_fall                     |  257 |
| minecraft:entity.generic.splash                         |  258 |
| minecraft:entity.generic.swim                           |  259 |
| minecraft:entity.ghast.ambient                          |  260 |
| minecraft:entity.ghast.death                            |  261 |
| minecraft:entity.ghast.hurt                             |  262 |
| minecraft:entity.ghast.scream                           |  263 |
| minecraft:entity.ghast.shoot                            |  264 |
| minecraft:entity.ghast.warn                             |  265 |
| minecraft:entity.guardian.ambient                       |  292 |
| minecraft:entity.guardian.ambient_land                  |  293 |
| minecraft:entity.guardian.attack                        |  294 |
| minecraft:entity.guardian.death                         |  295 |
| minecraft:entity.guardian.death_land                    |  296 |
| minecraft:entity.guardian.flop                          |  297 |
| minecraft:entity.guardian.hurt                          |  298 |
| minecraft:entity.guardian.hurt_land                     |  299 |
| minecraft:entity.horse.ambient                          |  308 |
| minecraft:entity.horse.angry                            |  309 |
| minecraft:entity.horse.armor                            |  310 |
| minecraft:entity.horse.breathe                          |  311 |
| minecraft:entity.horse.death                            |  312 |
| minecraft:entity.horse.eat                              |  313 |
| minecraft:entity.horse.gallop                           |  314 |
| minecraft:entity.horse.hurt                             |  315 |
| minecraft:entity.horse.jump                             |  316 |
| minecraft:entity.horse.land                             |  317 |
| minecraft:entity.horse.saddle                           |  318 |
| minecraft:entity.horse.step                             |  319 |
| minecraft:entity.horse.step_wood                        |  320 |
| minecraft:entity.hostile.big_fall                       |  321 |
| minecraft:entity.hostile.death                          |  322 |
| minecraft:entity.hostile.hurt                           |  323 |
| minecraft:entity.hostile.small_fall                     |  324 |
| minecraft:entity.hostile.splash                         |  325 |
| minecraft:entity.hostile.swim                           |  326 |
| minecraft:entity.husk.ambient                           |  327 |
| minecraft:entity.husk.converted_to_zombie               |  328 |
