+----------------------------+--------------------------------------------------+--------------------------------------------------------------------------------------------+-----+
| Mod name                   | Registry name                                    | Entity class name                                                                          |  ID |
| Better Animals Plus        | betteranimalsplus:turkey                         | its_meow.betteranimalsplus.common.entity.EntityTurkey                                      | 365 |
| Better Animals Plus        | betteranimalsplus:turkey_egg                     | its_meow.betteranimalsplus.common.entity.projectile.EntityTurkeyEgg                        | 341 |
| Better Animals Plus        | betteranimalsplus:walrus                         | its_meow.betteranimalsplus.common.entity.EntityWalrus                                      | 371 |
| Better Animals Plus        | betteranimalsplus:whale                          | its_meow.betteranimalsplus.common.entity.EntityWhale                                       | 370 |
| Charm                      | charm:endermite_powder                           | svenhjol.charm.world.entity.EndermitePowderEntity                                          | 439 |
| Clumps                     | clumps:xp_orb_big                                | ?                                                                                          | 332 |
| Create                     | create:contraption                               | com.simibubi.create.content.contraptions.components.structureMovement.ContraptionEntity    | 330 |
| Create                     | create:stationary_contraption                    | com.simibubi.create.content.contraptions.components.structureMovement.ContraptionEntity    | 331 |
| Create                     | create:super_glue                                | com.simibubi.create.content.contraptions.components.structureMovement.glue.SuperGlueEntity | 329 |
| Dungeons Gear              | dungeons_gear:ice_cloud                          | com.infamous.dungeons_gear.entities.IceCloudEntity                                         | 327 |
| Explorercraft              | explorercraft:brush_stooge                       | com.zathrox.explorercraft.common.entity.BrushStoogeEntity                                  | 381 |
| Explorercraft              | explorercraft:enderghast                         | com.zathrox.explorercraft.common.entity.EnderGhastEntity                                   | 382 |
| Explorercraft              | explorercraft:enderreeper                        | com.zathrox.explorercraft.common.entity.EnderreeperEntity                                  | 383 |
| Explorercraft              | explorercraft:infected_creeper                   | com.zathrox.explorercraft.common.entity.InfectedCreeperEntity                              | 384 |
| Explorercraft              | explorercraft:infected_skeleton                  | com.zathrox.explorercraft.common.entity.InfectedSkeletonEntity                             | 385 |
| Explorercraft              | explorercraft:infected_zombie                    | com.zathrox.explorercraft.common.entity.InfectedZombieEntity                               | 386 |
| Explorercraft              | explorercraft:skeletaur                          | com.zathrox.explorercraft.common.entity.SkeletaurEntity                                    | 387 |
| Explorercraft              | explorercraft:wizard                             | com.zathrox.explorercraft.common.entity.WizardEntity                                       | 388 |
| Extended Nether Backport   | extendednether:hoglin                            | com.blackgear.nether.common.entity.HoglinEntity                                            | 462 |
| Extended Nether Backport   | extendednether:piglin                            | com.blackgear.nether.common.entity.PiglinEntity                                            | 463 |
| Extended Nether Backport   | extendednether:strider                           | com.blackgear.nether.common.entity.StriderEntity                                           | 464 |
| Extended Nether Backport   | extendednether:zoglin                            | com.blackgear.nether.common.entity.ZoglinEntity                                            | 465 |
| Extended Nether Backport   | extendednether:zombified_piglin                  | com.blackgear.nether.common.entity.ZombifiedPiglinEntity                                   | 466 |
| Fairy Lights               | fairylights:fastener                             | me.paulf.fairylights.server.entity.FenceFastenerEntity                                     | 113 |
| Farming for Blockheads     | farmingforblockheads:merchant                    | net.blay09.mods.farmingforblockheads.entity.MerchantEntity                                 | 380 |
| Flux Networks              | fluxnetworks:fireitem                            | sonar.fluxnetworks.common.core.FireItemEntity                                              | 445 |
| Joy of Painting            | xercapaint:canvas                                | xerca.xercapaint.common.entity.EntityCanvas                                                | 114 |
| Minecraft                  | minecraft:area_effect_cloud                      | net.minecraft.entity.AreaEffectCloudEntity                                                 |   0 |
| Minecraft                  | minecraft:armor_stand                            | net.minecraft.entity.item.ArmorStandEntity                                                 |   1 |
| Minecraft                  | minecraft:arrow                                  | net.minecraft.entity.projectile.ArrowEntity                                                |   2 |
| Minecraft                  | minecraft:bat                                    | net.minecraft.entity.passive.BatEntity                                                     |   3 |
| Minecraft                  | minecraft:bee                                    | net.minecraft.entity.passive.BeeEntity                                                     |   4 |
| Minecraft                  | minecraft:blaze                                  | net.minecraft.entity.monster.BlazeEntity                                                   |   5 |
| Minecraft                  | minecraft:boat                                   | net.minecraft.entity.item.BoatEntity                                                       |   6 |
| Minecraft                  | minecraft:cat                                    | net.minecraft.entity.passive.CatEntity                                                     |   7 |
| Minecraft                  | minecraft:cave_spider                            | net.minecraft.entity.monster.CaveSpiderEntity                                              |   8 |
| Minecraft                  | minecraft:chest_minecart                         | net.minecraft.entity.item.minecart.ChestMinecartEntity                                     |  43 |
| Minecraft                  | minecraft:chicken                                | net.minecraft.entity.passive.ChickenEntity                                                 |   9 |
| Minecraft                  | minecraft:cod                                    | net.minecraft.entity.passive.fish.CodEntity                                                |  10 |
| Minecraft                  | minecraft:command_block_minecart                 | net.minecraft.entity.item.minecart.MinecartCommandBlockEntity                              |  44 |
| Minecraft                  | minecraft:cow                                    | net.minecraft.entity.passive.CowEntity                                                     |  11 |
| Minecraft                  | minecraft:creeper                                | net.minecraft.entity.monster.CreeperEntity                                                 |  12 |
| Minecraft                  | minecraft:dolphin                                | net.minecraft.entity.passive.DolphinEntity                                                 |  14 |
| Minecraft                  | minecraft:donkey                                 | net.minecraft.entity.passive.horse.DonkeyEntity                                            |  13 |
| Minecraft                  | minecraft:dragon_fireball                        | net.minecraft.entity.projectile.DragonFireballEntity                                       |  15 |
| Minecraft                  | minecraft:drowned                                | net.minecraft.entity.monster.DrownedEntity                                                 |  16 |
| Minecraft                  | minecraft:egg                                    | net.minecraft.entity.projectile.EggEntity                                                  |  79 |
| Minecraft                  | minecraft:elder_guardian                         | net.minecraft.entity.monster.ElderGuardianEntity                                           |  17 |
| Minecraft                  | minecraft:end_crystal                            | net.minecraft.entity.item.EnderCrystalEntity                                               |  18 |
| Minecraft                  | minecraft:ender_dragon                           | net.minecraft.entity.boss.dragon.EnderDragonEntity                                         |  19 |
| Minecraft                  | minecraft:ender_pearl                            | net.minecraft.entity.item.EnderPearlEntity                                                 |  80 |
| Minecraft                  | minecraft:enderman                               | net.minecraft.entity.monster.EndermanEntity                                                |  20 |
| Minecraft                  | minecraft:endermite                              | net.minecraft.entity.monster.EndermiteEntity                                               |  21 |
| Minecraft                  | minecraft:evoker                                 | net.minecraft.entity.monster.EvokerEntity                                                  |  23 |
| Minecraft                  | minecraft:evoker_fangs                           | net.minecraft.entity.projectile.EvokerFangsEntity                                          |  22 |
| Minecraft                  | minecraft:experience_bottle                      | net.minecraft.entity.item.ExperienceBottleEntity                                           |  81 |
| Minecraft                  | minecraft:experience_orb                         | net.minecraft.entity.item.ExperienceOrbEntity                                              |  24 |
| Minecraft                  | minecraft:eye_of_ender                           | net.minecraft.entity.item.EyeOfEnderEntity                                                 |  25 |
| Minecraft                  | minecraft:falling_block                          | net.minecraft.entity.item.FallingBlockEntity                                               |  26 |
| Minecraft                  | minecraft:fireball                               | net.minecraft.entity.projectile.FireballEntity                                             |  37 |
| Minecraft                  | minecraft:firework_rocket                        | net.minecraft.entity.item.FireworkRocketEntity                                             |  27 |
| Minecraft                  | minecraft:fishing_bobber                         | ?                                                                                          | 102 |
| Minecraft                  | minecraft:fox                                    | net.minecraft.entity.passive.FoxEntity                                                     |  28 |
| Minecraft                  | minecraft:furnace_minecart                       | net.minecraft.entity.item.minecart.FurnaceMinecartEntity                                   |  45 |
| Minecraft                  | minecraft:ghast                                  | net.minecraft.entity.monster.GhastEntity                                                   |  29 |
| Minecraft                  | minecraft:giant                                  | net.minecraft.entity.monster.GiantEntity                                                   |  30 |
| Minecraft                  | minecraft:guardian                               | net.minecraft.entity.monster.GuardianEntity                                                |  31 |
| Minecraft                  | minecraft:hopper_minecart                        | net.minecraft.entity.item.minecart.HopperMinecartEntity                                    |  46 |
| Minecraft                  | minecraft:horse                                  | net.minecraft.entity.passive.horse.HorseEntity                                             |  32 |
| Minecraft                  | minecraft:husk                                   | net.minecraft.entity.monster.HuskEntity                                                    |  33 |
| Minecraft                  | minecraft:illusioner                             | net.minecraft.entity.monster.IllusionerEntity                                              |  34 |
| Minecraft                  | minecraft:iron_golem                             | net.minecraft.entity.passive.IronGolemEntity                                               |  86 |
| Minecraft                  | minecraft:item                                   | net.minecraft.entity.item.ItemEntity                                                       |  35 |
| Minecraft                  | minecraft:item_frame                             | net.minecraft.entity.item.ItemFrameEntity                                                  |  36 |
| Minecraft                  | minecraft:leash_knot                             | net.minecraft.entity.item.LeashKnotEntity                                                  |  38 |
| Minecraft                  | minecraft:lightning_bolt                         | ?                                                                                          | 100 |
| Minecraft                  | minecraft:llama                                  | net.minecraft.entity.passive.horse.LlamaEntity                                             |  39 |
| Minecraft                  | minecraft:llama_spit                             | net.minecraft.entity.projectile.LlamaSpitEntity                                            |  40 |
| Minecraft                  | minecraft:magma_cube                             | net.minecraft.entity.monster.MagmaCubeEntity                                               |  41 |
| Minecraft                  | minecraft:minecart                               | net.minecraft.entity.item.minecart.MinecartEntity                                          |  42 |
| Minecraft                  | minecraft:mooshroom                              | net.minecraft.entity.passive.MooshroomEntity                                               |  50 |
| Minecraft                  | minecraft:mule                                   | net.minecraft.entity.passive.horse.MuleEntity                                              |  49 |
| Minecraft                  | minecraft:ocelot                                 | net.minecraft.entity.passive.OcelotEntity                                                  |  51 |
| Minecraft                  | minecraft:painting                               | net.minecraft.entity.item.PaintingEntity                                                   |  52 |
| Minecraft                  | minecraft:panda                                  | net.minecraft.entity.passive.PandaEntity                                                   |  53 |
| Minecraft                  | minecraft:parrot                                 | net.minecraft.entity.passive.ParrotEntity                                                  |  54 |
| Minecraft                  | minecraft:phantom                                | net.minecraft.entity.monster.PhantomEntity                                                 |  98 |
| Minecraft                  | minecraft:pig                                    | net.minecraft.entity.passive.PigEntity                                                     |  55 |
| Minecraft                  | minecraft:pillager                               | net.minecraft.entity.monster.PillagerEntity                                                |  88 |
| Minecraft                  | minecraft:player                                 | ?                                                                                          | 101 |
| Minecraft                  | minecraft:polar_bear                             | net.minecraft.entity.passive.PolarBearEntity                                               |  58 |
| Minecraft                  | minecraft:potion                                 | net.minecraft.entity.projectile.PotionEntity                                               |  82 |
| Minecraft                  | minecraft:pufferfish                             | net.minecraft.entity.passive.fish.PufferfishEntity                                         |  56 |
| Minecraft                  | minecraft:rabbit                                 | net.minecraft.entity.passive.RabbitEntity                                                  |  60 |
| Minecraft                  | minecraft:ravager                                | net.minecraft.entity.monster.RavagerEntity                                                 |  99 |
| Minecraft                  | minecraft:salmon                                 | net.minecraft.entity.passive.fish.SalmonEntity                                             |  61 |
| Minecraft                  | minecraft:sheep                                  | net.minecraft.entity.passive.SheepEntity                                                   |  62 |
| Minecraft                  | minecraft:shulker                                | net.minecraft.entity.monster.ShulkerEntity                                                 |  63 |
| Minecraft                  | minecraft:shulker_bullet                         | net.minecraft.entity.projectile.ShulkerBulletEntity                                        |  64 |
| Minecraft                  | minecraft:silverfish                             | net.minecraft.entity.monster.SilverfishEntity                                              |  65 |
| Minecraft                  | minecraft:skeleton                               | net.minecraft.entity.monster.SkeletonEntity                                                |  66 |
| Minecraft                  | minecraft:skeleton_horse                         | net.minecraft.entity.passive.horse.SkeletonHorseEntity                                     |  67 |
| Minecraft                  | minecraft:slime                                  | net.minecraft.entity.monster.SlimeEntity                                                   |  68 |
| Minecraft                  | minecraft:small_fireball                         | net.minecraft.entity.projectile.SmallFireballEntity                                        |  69 |
| Minecraft                  | minecraft:snow_golem                             | net.minecraft.entity.passive.SnowGolemEntity                                               |  70 |
| Minecraft                  | minecraft:snowball                               | net.minecraft.entity.projectile.SnowballEntity                                             |  71 |
| Minecraft                  | minecraft:spawner_minecart                       | net.minecraft.entity.item.minecart.SpawnerMinecartEntity                                   |  47 |
| Minecraft                  | minecraft:spectral_arrow                         | net.minecraft.entity.projectile.SpectralArrowEntity                                        |  72 |
| Minecraft                  | minecraft:spider                                 | net.minecraft.entity.monster.SpiderEntity                                                  |  73 |
| Minecraft                  | minecraft:squid                                  | net.minecraft.entity.passive.SquidEntity                                                   |  74 |
| Minecraft                  | minecraft:stray                                  | net.minecraft.entity.monster.StrayEntity                                                   |  75 |
| Minecraft                  | minecraft:tnt                                    | net.minecraft.entity.item.TNTEntity                                                        |  59 |
| Minecraft                  | minecraft:tnt_minecart                           | net.minecraft.entity.item.minecart.TNTMinecartEntity                                       |  48 |
| Minecraft                  | minecraft:trader_llama                           | net.minecraft.entity.passive.horse.TraderLlamaEntity                                       |  76 |
| Minecraft                  | minecraft:trident                                | net.minecraft.entity.projectile.TridentEntity                                              |  83 |
| Minecraft                  | minecraft:tropical_fish                          | net.minecraft.entity.passive.fish.TropicalFishEntity                                       |  77 |
| Minecraft                  | minecraft:turtle                                 | net.minecraft.entity.passive.TurtleEntity                                                  |  78 |
| Minecraft                  | minecraft:vex                                    | net.minecraft.entity.monster.VexEntity                                                     |  84 |
| Minecraft                  | minecraft:villager                               | net.minecraft.entity.merchant.villager.VillagerEntity                                      |  85 |
| Minecraft                  | minecraft:vindicator                             | net.minecraft.entity.monster.VindicatorEntity                                              |  87 |
| Minecraft                  | minecraft:wandering_trader                       | net.minecraft.entity.merchant.villager.WanderingTraderEntity                               |  89 |
| Minecraft                  | minecraft:witch                                  | net.minecraft.entity.monster.WitchEntity                                                   |  90 |
| Minecraft                  | minecraft:wither                                 | net.minecraft.entity.boss.WitherEntity                                                     |  91 |
| Minecraft                  | minecraft:wither_skeleton                        | net.minecraft.entity.monster.WitherSkeletonEntity                                          |  92 |
| Minecraft                  | minecraft:wither_skull                           | net.minecraft.entity.projectile.WitherSkullEntity                                          |  93 |
| Minecraft                  | minecraft:wolf                                   | net.minecraft.entity.passive.WolfEntity                                                    |  94 |
| Minecraft                  | minecraft:zombie                                 | net.minecraft.entity.monster.ZombieEntity                                                  |  95 |
| Minecraft                  | minecraft:zombie_horse                           | net.minecraft.entity.passive.horse.ZombieHorseEntity                                       |  96 |
| Minecraft                  | minecraft:zombie_pigman                          | net.minecraft.entity.monster.ZombiePigmanEntity                                            |  57 |
| Minecraft                  | minecraft:zombie_villager                        | net.minecraft.entity.monster.ZombieVillagerEntity                                          |  97 |
| MrCrayfish's Furniture Mod | cfm:seat                                         | com.mrcrayfish.furniture.entity.SeatEntity                                                 | 279 |
| MrCrayfish's Vehicle Mod   | vehicle:aluminum_boat                            | com.mrcrayfish.vehicle.entity.vehicle.AluminumBoatEntity                                   | 123 |
| MrCrayfish's Vehicle Mod   | vehicle:atv                                      | com.mrcrayfish.vehicle.entity.vehicle.ATVEntity                                            | 115 |
| MrCrayfish's Vehicle Mod   | vehicle:bath                                     | com.mrcrayfish.vehicle.entity.vehicle.BathEntity                                           | 139 |
| MrCrayfish's Vehicle Mod   | vehicle:bumper_car                               | com.mrcrayfish.vehicle.entity.vehicle.BumperCarEntity                                      | 120 |
| MrCrayfish's Vehicle Mod   | vehicle:couch                                    | com.mrcrayfish.vehicle.entity.vehicle.CouchEntity                                          | 138 |
| MrCrayfish's Vehicle Mod   | vehicle:dirt_bike                                | com.mrcrayfish.vehicle.entity.vehicle.DirtBikeEntity                                       | 132 |
| MrCrayfish's Vehicle Mod   | vehicle:dune_buggy                               | com.mrcrayfish.vehicle.entity.vehicle.DuneBuggyEntity                                      | 116 |
| MrCrayfish's Vehicle Mod   | vehicle:fertilizer                               | com.mrcrayfish.vehicle.entity.trailer.FertilizerTrailerEntity                              | 137 |
| MrCrayfish's Vehicle Mod   | vehicle:fluid_trailer                            | com.mrcrayfish.vehicle.entity.trailer.FluidTrailerEntity                                   | 135 |
| MrCrayfish's Vehicle Mod   | vehicle:go_kart                                  | com.mrcrayfish.vehicle.entity.vehicle.GoKartEntity                                         | 117 |
| MrCrayfish's Vehicle Mod   | vehicle:golf_cart                                | com.mrcrayfish.vehicle.entity.vehicle.GolfCartEntity                                       | 128 |
| MrCrayfish's Vehicle Mod   | vehicle:jack                                     | com.mrcrayfish.vehicle.entity.EntityJack                                                   | 141 |
| MrCrayfish's Vehicle Mod   | vehicle:jet_ski                                  | com.mrcrayfish.vehicle.entity.vehicle.JetSkiEntity                                         | 121 |
| MrCrayfish's Vehicle Mod   | vehicle:lawn_mower                               | com.mrcrayfish.vehicle.entity.vehicle.LawnMowerEntity                                      | 125 |
| MrCrayfish's Vehicle Mod   | vehicle:mini_bike                                | com.mrcrayfish.vehicle.entity.vehicle.MiniBikeEntity                                       | 119 |
| MrCrayfish's Vehicle Mod   | vehicle:mini_bus                                 | com.mrcrayfish.vehicle.entity.vehicle.MiniBusEntity                                        | 131 |
| MrCrayfish's Vehicle Mod   | vehicle:moped                                    | com.mrcrayfish.vehicle.entity.vehicle.MopedEntity                                          | 126 |
| MrCrayfish's Vehicle Mod   | vehicle:off_roader                               | com.mrcrayfish.vehicle.entity.vehicle.OffRoaderEntity                                      | 129 |
| MrCrayfish's Vehicle Mod   | vehicle:seeder                                   | com.mrcrayfish.vehicle.entity.trailer.SeederTrailerEntity                                  | 136 |
| MrCrayfish's Vehicle Mod   | vehicle:shopping_cart                            | com.mrcrayfish.vehicle.entity.vehicle.ShoppingCartEntity                                   | 118 |
| MrCrayfish's Vehicle Mod   | vehicle:smart_car                                | com.mrcrayfish.vehicle.entity.vehicle.SmartCarEntity                                       | 124 |
| MrCrayfish's Vehicle Mod   | vehicle:sofacopter                               | com.mrcrayfish.vehicle.entity.vehicle.SofacopterEntity                                     | 140 |
| MrCrayfish's Vehicle Mod   | vehicle:speed_boat                               | com.mrcrayfish.vehicle.entity.vehicle.SpeedBoatEntity                                      | 122 |
| MrCrayfish's Vehicle Mod   | vehicle:sports_plane                             | com.mrcrayfish.vehicle.entity.vehicle.SportsPlaneEntity                                    | 127 |
