+----------------------------+---------------------------------------------------------+------------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                  |
| of the Block class in question. The actual final values may be different                                        |
| for different states of the block, or they may depend on a TileEntity etc.                                      |
+----------------------------+---------------------------------------------------------+------------+-------------+
| Mod name                   | Registry name                                           |   Hardness |  Resistance |
| Azuredooms Doom Mod        | doomweapon:icon_wall8                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall9                                   |       4.00 |        4.00 |
| Better Animals Plus        | betteranimalsplus:blackbearhead_black                   |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:blackbearhead_kermode                 |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:boarhead_1                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:boarhead_2                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:boarhead_3                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:boarhead_4                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:brownbearhead_1                       |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:coyotehead_1                          |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:deerhead_1                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:deerhead_2                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:deerhead_3                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:deerhead_4                            |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_arctic                  |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_black                   |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_brown                   |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_red                     |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_snowy                   |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:feralwolfhead_timber                  |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:moosehead_1                           |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:moosehead_2                           |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:moosehead_3                           |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:moosehead_4                           |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:reindeerhead_1                        |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:reindeerhead_2                        |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:reindeerhead_3                        |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:reindeerhead_4                        |       0.80 |        0.80 |
| Better Animals Plus        | betteranimalsplus:trillium                              |       0.00 |        0.00 |
| Better Animals Plus        | betteranimalsplus:turkey_cooked                         |       0.00 |        0.00 |
| Better Animals Plus        | betteranimalsplus:turkey_raw                            |       0.00 |        0.00 |
| Bigger Reactors            | biggerreactors:blutonium_block                          |       1.00 |        1.00 |
| Bigger Reactors            | biggerreactors:cyanite_block                            |       1.00 |        1.00 |
| Bigger Reactors            | biggerreactors:cyanite_reprocessor                      |       1.00 |        1.00 |
| Bigger Reactors            | biggerreactors:fluid_irradiated_steam_block             |     100.00 |      100.00 |
| Bigger Reactors            | biggerreactors:fluid_yellorium_block                    |     100.00 |      100.00 |
| Bigger Reactors            | biggerreactors:graphite_block                           |       1.00 |        1.00 |
| Bigger Reactors            | biggerreactors:ludicrite_block                          |       1.00 |        1.00 |
| Bigger Reactors            | biggerreactors:reactor_access_port                      |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:reactor_casing                           |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:reactor_control_rod                      |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:reactor_coolant_port                     |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:reactor_fuel_rod                         |       2.00 |        2.00 |
| Bigger Reactors            | biggerreactors:reactor_glass                            |       2.00 |        2.00 |
| Bigger Reactors            | biggerreactors:reactor_power_tap                        |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:reactor_terminal                         |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:turbine_casing                           |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:turbine_coolant_port                     |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:turbine_glass                            |       2.00 |        2.00 |
| Bigger Reactors            | biggerreactors:turbine_power_tap                        |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:turbine_rotor_bearing                    |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:turbine_rotor_blade                      |       2.00 |        2.00 |
| Bigger Reactors            | biggerreactors:turbine_rotor_shaft                      |       2.00 |        2.00 |
| Bigger Reactors            | biggerreactors:turbine_terminal                         |       2.00 |       10.00 |
| Bigger Reactors            | biggerreactors:yellorite_ore                            |       1.00 |        1.00 |
| Bigger Reactors            | biggerreactors:yellorium_block                          |       1.00 |        1.00 |
| BotanyPots                 | botanypots:black_botany_pot                             |       1.25 |        4.20 |
| BotanyPots                 | botanypots:blue_botany_pot                              |       1.25 |        4.20 |
| BotanyPots                 | botanypots:botany_pot                                   |       1.25 |        4.20 |
| BotanyPots                 | botanypots:brown_botany_pot                             |       1.25 |        4.20 |
| BotanyPots                 | botanypots:cyan_botany_pot                              |       1.25 |        4.20 |
| BotanyPots                 | botanypots:gray_botany_pot                              |       1.25 |        4.20 |
| BotanyPots                 | botanypots:green_botany_pot                             |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_black_botany_pot                      |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_blue_botany_pot                       |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_botany_pot                            |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_brown_botany_pot                      |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_cyan_botany_pot                       |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_gray_botany_pot                       |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_green_botany_pot                      |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_light_blue_botany_pot                 |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_light_gray_botany_pot                 |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_lime_botany_pot                       |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_magenta_botany_pot                    |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_orange_botany_pot                     |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_pink_botany_pot                       |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_purple_botany_pot                     |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_red_botany_pot                        |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_white_botany_pot                      |       1.25 |        4.20 |
| BotanyPots                 | botanypots:hopper_yellow_botany_pot                     |       1.25 |        4.20 |
| BotanyPots                 | botanypots:light_blue_botany_pot                        |       1.25 |        4.20 |
| BotanyPots                 | botanypots:light_gray_botany_pot                        |       1.25 |        4.20 |
| BotanyPots                 | botanypots:lime_botany_pot                              |       1.25 |        4.20 |
| BotanyPots                 | botanypots:magenta_botany_pot                           |       1.25 |        4.20 |
| BotanyPots                 | botanypots:orange_botany_pot                            |       1.25 |        4.20 |
| BotanyPots                 | botanypots:pink_botany_pot                              |       1.25 |        4.20 |
| BotanyPots                 | botanypots:purple_botany_pot                            |       1.25 |        4.20 |
| BotanyPots                 | botanypots:red_botany_pot                               |       1.25 |        4.20 |
| BotanyPots                 | botanypots:white_botany_pot                             |       1.25 |        4.20 |
| BotanyPots                 | botanypots:yellow_botany_pot                            |       1.25 |        4.20 |
| Bountiful Baubles          | bountifulbaubles:water_candle                           |       1.50 |        3.00 |
| Charm                      | charm:barrel_acacia                                     |       2.50 |        2.50 |
| Charm                      | charm:barrel_birch                                      |       2.50 |        2.50 |
| Charm                      | charm:barrel_dark_oak                                   |       2.50 |        2.50 |
| Charm                      | charm:barrel_jungle                                     |       2.50 |        2.50 |
| Charm                      | charm:barrel_oak                                        |       2.50 |        2.50 |
| Charm                      | charm:barrel_spruce                                     |       2.50 |        2.50 |
| Charm                      | charm:black_lantern                                     |       3.50 |        3.50 |
| Charm                      | charm:blue_lantern                                      |       3.50 |        3.50 |
| Charm                      | charm:bookshelf_chest_acacia                            |       1.50 |        1.50 |
| Charm                      | charm:bookshelf_chest_birch                             |       1.50 |        1.50 |
| Charm                      | charm:bookshelf_chest_dark_oak                          |       1.50 |        1.50 |
| Charm                      | charm:bookshelf_chest_jungle                            |       1.50 |        1.50 |
| Charm                      | charm:bookshelf_chest_oak                               |       1.50 |        1.50 |
| Charm                      | charm:bookshelf_chest_spruce                            |       1.50 |        1.50 |
| Charm                      | charm:brown_lantern                                     |       3.50 |        3.50 |
| Charm                      | charm:cake_danger_sight                                 |       0.50 |        0.50 |
| Charm                      | charm:cake_fire_resistance                              |       0.50 |        0.50 |
| Charm                      | charm:cake_invisibility                                 |       0.50 |        0.50 |
| Charm                      | charm:cake_leaping                                      |       0.50 |        0.50 |
| Charm                      | charm:cake_night_vision                                 |       0.50 |        0.50 |
| Charm                      | charm:cake_regeneration                                 |       0.50 |        0.50 |
| Charm                      | charm:cake_resilience                                   |       0.50 |        0.50 |
| Charm                      | charm:cake_resistance                                   |       0.50 |        0.50 |
| Charm                      | charm:cake_strength                                     |       0.50 |        0.50 |
| Charm                      | charm:cake_swiftness                                    |       0.50 |        0.50 |
| Charm                      | charm:cake_water_breathing                              |       0.50 |        0.50 |
| Charm                      | charm:crate_open_acacia                                 |       1.50 |        1.50 |
| Charm                      | charm:crate_open_birch                                  |       1.50 |        1.50 |
| Charm                      | charm:crate_open_dark_oak                               |       1.50 |        1.50 |
| Charm                      | charm:crate_open_jungle                                 |       1.50 |        1.50 |
| Charm                      | charm:crate_open_oak                                    |       1.50 |        1.50 |
| Charm                      | charm:crate_open_spruce                                 |       1.50 |        1.50 |
| Charm                      | charm:crate_sealed_acacia                               |       1.50 |        1.50 |
| Charm                      | charm:crate_sealed_birch                                |       1.50 |        1.50 |
| Charm                      | charm:crate_sealed_dark_oak                             |       1.50 |        1.50 |
| Charm                      | charm:crate_sealed_jungle                               |       1.50 |        1.50 |
| Charm                      | charm:crate_sealed_oak                                  |       1.50 |        1.50 |
| Charm                      | charm:crate_sealed_spruce                               |       1.50 |        1.50 |
| Charm                      | charm:cyan_lantern                                      |       3.50 |        3.50 |
| Charm                      | charm:ender_pearl_block                                 |       2.00 |        2.00 |
| Charm                      | charm:fumarole                                          |       0.40 |        0.40 |
| Charm                      | charm:gold_lantern                                      |       3.50 |        3.50 |
| Charm                      | charm:gray_lantern                                      |       3.50 |        3.50 |
| Charm                      | charm:green_lantern                                     |       3.50 |        3.50 |
| Charm                      | charm:gunpowder_block                                   |       0.50 |        0.50 |
| Charm                      | charm:light_blue_lantern                                |       3.50 |        3.50 |
| Charm                      | charm:light_gray_lantern                                |       3.50 |        3.50 |
| Charm                      | charm:lime_lantern                                      |       3.50 |        3.50 |
| Charm                      | charm:magenta_lantern                                   |       3.50 |        3.50 |
| Charm                      | charm:nether_gold_deposit                               |       3.00 |        3.00 |
| Charm                      | charm:orange_lantern                                    |       3.50 |        3.50 |
| Charm                      | charm:pig_iron_ore                                      |       3.00 |        3.00 |
| Charm                      | charm:pink_lantern                                      |       3.50 |        3.50 |
| Charm                      | charm:purple_lantern                                    |       3.50 |        3.50 |
| Charm                      | charm:red_lantern                                       |       3.50 |        3.50 |
| Charm                      | charm:redstone_sand                                     |       0.50 |        0.50 |
| Charm                      | charm:rotten_flesh_block                                |       1.00 |        2.00 |
| Charm                      | charm:rune_portal                                       |      -1.00 |  3600000.00 |
| Charm                      | charm:rune_portal_frame                                 |      -1.00 |  3600000.00 |
| Charm                      | charm:smooth_glowstone                                  |       0.30 |        0.30 |
| Charm                      | charm:variable_redstone_lamp                            |       0.30 |        0.30 |
| Charm                      | charm:white_lantern                                     |       3.50 |        3.50 |
| Charm                      | charm:yellow_lantern                                    |       3.50 |        3.50 |
| ChickenChunks              | chickenchunks:chunk_loader                              |      20.00 |      100.00 |
| ChickenChunks              | chickenchunks:spot_loader                               |      20.00 |      100.00 |
| Clef                       | clef:instrument_player                                  |       0.80 |        0.80 |
| Click Machine              | clickmachine:auto_clicker                               |       5.00 |        5.00 |
| Coffee mod                 | coffeemod:coffee_bush                                   |       2.00 |        2.00 |
| Coffee mod                 | coffeemod:coffee_machine                                |       2.00 |       15.00 |
| Corail Tombstone           | tombstone:dark_marble                                   |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:decorative_grave_cross                        |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:decorative_grave_normal                       |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:decorative_grave_original                     |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:decorative_grave_simple                       |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:decorative_subaraki_grave                     |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:decorative_tombstone                          |       4.00 | 18000000.00 |
| Corail Tombstone           | tombstone:grave_cross                                   |      -1.00 | 18000000.00 |
| Corail Tombstone           | tombstone:grave_normal                                  |      -1.00 | 18000000.00 |
| Corail Tombstone           | tombstone:grave_original                                |      -1.00 | 18000000.00 |
| Corail Tombstone           | tombstone:grave_simple                                  |      -1.00 | 18000000.00 |
| Corail Tombstone           | tombstone:subaraki_grave                                |      -1.00 | 18000000.00 |
| Corail Tombstone           | tombstone:tombstone                                     |      -1.00 | 18000000.00 |
| Corail Tombstone           | tombstone:white_marble                                  |       4.00 | 18000000.00 |
| Create                     | create:acacia_window                                    |       0.30 |        0.30 |
| Create                     | create:acacia_window_pane                               |       0.30 |        0.30 |
| Create                     | create:adjustable_crate                                 |       1.50 |        6.00 |
| Create                     | create:adjustable_pulley                                |       1.50 |        6.00 |
| Create                     | create:adjustable_pulse_repeater                        |       0.00 |        0.00 |
| Create                     | create:adjustable_repeater                              |       0.00 |        0.00 |
| Create                     | create:analog_lever                                     |       0.50 |        0.50 |
| Create                     | create:andesite_bricks                                  |       1.50 |        6.00 |
| Create                     | create:andesite_bricks_slab                             |       1.50 |        6.00 |
| Create                     | create:andesite_bricks_stairs                           |       1.50 |        6.00 |
| Create                     | create:andesite_bricks_wall                             |       1.50 |        6.00 |
| Create                     | create:andesite_casing                                  |       1.50 |        6.00 |
| Create                     | create:andesite_cobblestone                             |       1.50 |        6.00 |
| Create                     | create:andesite_cobblestone_slab                        |       1.50 |        6.00 |
| Create                     | create:andesite_cobblestone_stairs                      |       1.50 |        6.00 |
| Create                     | create:andesite_cobblestone_wall                        |       1.50 |        6.00 |
| Create                     | create:andesite_pillar                                  |       1.50 |        6.00 |
| Create                     | create:basin                                            |       1.50 |        6.00 |
| Create                     | create:belt                                             |       0.00 |        0.00 |
| Create                     | create:belt_observer                                    |       1.50 |        6.00 |
| Create                     | create:belt_tunnel                                      |       1.50 |        6.00 |
| Create                     | create:birch_window                                     |       0.30 |        0.30 |
| Create                     | create:birch_window_pane                                |       0.30 |        0.30 |
| Create                     | create:brass_block                                      |       5.00 |        6.00 |
| Create                     | create:brass_casing                                     |       1.50 |        6.00 |
| Create                     | create:cart_assembler                                   |       1.50 |        6.00 |
| Create                     | create:chiseled_dark_scoria                             |       1.50 |        6.00 |
| Create                     | create:chiseled_dolomite                                |       0.80 |        0.80 |
| Create                     | create:chiseled_gabbro                                  |       1.50 |        6.00 |
| Create                     | create:chiseled_limestone                               |       0.80 |        0.80 |
| Create                     | create:chiseled_scoria                                  |       1.50 |        6.00 |
| Create                     | create:chiseled_weathered_limestone                     |       0.80 |        0.80 |
| Create                     | create:clockwork_bearing                                |       1.50 |        6.00 |
| Create                     | create:clutch                                           |       1.50 |        6.00 |
| Create                     | create:cogwheel                                         |       1.50 |        6.00 |
| Create                     | create:copper_block                                     |       5.00 |        6.00 |
| Create                     | create:copper_casing                                    |       1.50 |        6.00 |
| Create                     | create:copper_ore                                       |       3.00 |        3.00 |
| Create                     | create:copper_shingles                                  |       5.00 |        6.00 |
| Create                     | create:creative_crate                                   |       1.50 |        6.00 |
| Create                     | create:creative_motor                                   |       1.50 |        6.00 |
| Create                     | create:crushing_wheel                                   |       1.50 |        6.00 |
| Create                     | create:crushing_wheel_controller                        |       0.00 |        0.00 |
| Create                     | create:cuckoo_clock                                     |       2.00 |        2.00 |
| Create                     | create:dark_oak_window                                  |       0.30 |        0.30 |
| Create                     | create:dark_oak_window_pane                             |       0.30 |        0.30 |
| Create                     | create:dark_scoria                                      |       1.50 |        6.00 |
| Create                     | create:dark_scoria_bricks                               |       1.50 |        6.00 |
| Create                     | create:dark_scoria_bricks_slab                          |       1.50 |        6.00 |
| Create                     | create:dark_scoria_bricks_stairs                        |       1.50 |        6.00 |
| Create                     | create:dark_scoria_bricks_wall                          |       1.50 |        6.00 |
| Create                     | create:dark_scoria_cobblestone                          |       1.50 |        6.00 |
| Create                     | create:dark_scoria_cobblestone_slab                     |       1.50 |        6.00 |
| Create                     | create:dark_scoria_cobblestone_stairs                   |       1.50 |        6.00 |
| Create                     | create:dark_scoria_cobblestone_wall                     |       1.50 |        6.00 |
| Create                     | create:dark_scoria_pillar                               |       1.50 |        6.00 |
| Create                     | create:deployer                                         |       1.50 |        6.00 |
| Create                     | create:diorite_bricks                                   |       1.50 |        6.00 |
| Create                     | create:diorite_bricks_slab                              |       1.50 |        6.00 |
| Create                     | create:diorite_bricks_stairs                            |       1.50 |        6.00 |
| Create                     | create:diorite_bricks_wall                              |       1.50 |        6.00 |
| Create                     | create:diorite_cobblestone                              |       1.50 |        6.00 |
| Create                     | create:diorite_cobblestone_slab                         |       1.50 |        6.00 |
| Create                     | create:diorite_cobblestone_stairs                       |       1.50 |        6.00 |
| Create                     | create:diorite_cobblestone_wall                         |       1.50 |        6.00 |
| Create                     | create:diorite_pillar                                   |       1.50 |        6.00 |
| Create                     | create:dolomite                                         |       0.80 |        0.80 |
| Create                     | create:dolomite_bricks                                  |       0.80 |        0.80 |
| Create                     | create:dolomite_bricks_slab                             |       0.80 |        0.80 |
| Create                     | create:dolomite_bricks_stairs                           |       0.80 |        0.80 |
| Create                     | create:dolomite_bricks_wall                             |       0.80 |        0.80 |
| Create                     | create:dolomite_cobblestone                             |       0.80 |        0.80 |
| Create                     | create:dolomite_cobblestone_slab                        |       0.80 |        0.80 |
| Create                     | create:dolomite_cobblestone_stairs                      |       0.80 |        0.80 |
| Create                     | create:dolomite_cobblestone_wall                        |       0.80 |        0.80 |
| Create                     | create:dolomite_pillar                                  |       0.80 |        0.80 |
| Create                     | create:encased_belt                                     |       1.50 |        6.00 |
| Create                     | create:encased_fan                                      |       1.50 |        6.00 |
| Create                     | create:encased_shaft                                    |       1.50 |        6.00 |
| Create                     | create:extractor                                        |       3.00 |        6.00 |
| Create                     | create:fancy_andesite_bricks                            |       1.50 |        6.00 |
| Create                     | create:fancy_andesite_bricks_slab                       |       1.50 |        6.00 |
| Create                     | create:fancy_andesite_bricks_stairs                     |       1.50 |        6.00 |
| Create                     | create:fancy_andesite_bricks_wall                       |       1.50 |        6.00 |
