+--------------------------+--------------------------------------------+-----+
| Mod name                 | Registry name                              |  ID |
| Minecraft                | minecraft:pig                              |  59 |
| Minecraft                | minecraft:piglin                           |  60 |
| Minecraft                | minecraft:piglin_brute                     |  61 |
| Minecraft                | minecraft:pillager                         |  62 |
| Minecraft                | minecraft:player                           | 106 |
| Minecraft                | minecraft:polar_bear                       |  63 |
| Minecraft                | minecraft:potion                           |  87 |
| Minecraft                | minecraft:pufferfish                       |  65 |
| Minecraft                | minecraft:rabbit                           |  66 |
| Minecraft                | minecraft:ravager                          |  67 |
| Minecraft                | minecraft:salmon                           |  68 |
| Minecraft                | minecraft:sheep                            |  69 |
| Minecraft                | minecraft:shulker                          |  70 |
| Minecraft                | minecraft:shulker_bullet                   |  71 |
| Minecraft                | minecraft:silverfish                       |  72 |
| Minecraft                | minecraft:skeleton                         |  73 |
| Minecraft                | minecraft:skeleton_horse                   |  74 |
| Minecraft                | minecraft:slime                            |  75 |
| Minecraft                | minecraft:small_fireball                   |  76 |
| Minecraft                | minecraft:snow_golem                       |  77 |
| Minecraft                | minecraft:snowball                         |  78 |
| Minecraft                | minecraft:spawner_minecart                 |  50 |
| Minecraft                | minecraft:spectral_arrow                   |  79 |
| Minecraft                | minecraft:spider                           |  80 |
| Minecraft                | minecraft:squid                            |  81 |
| Minecraft                | minecraft:stray                            |  82 |
| Minecraft                | minecraft:strider                          |  83 |
| Minecraft                | minecraft:tnt                              |  64 |
| Minecraft                | minecraft:tnt_minecart                     |  51 |
| Minecraft                | minecraft:trader_llama                     |  89 |
| Minecraft                | minecraft:trident                          |  88 |
| Minecraft                | minecraft:tropical_fish                    |  90 |
| Minecraft                | minecraft:turtle                           |  91 |
| Minecraft                | minecraft:vex                              |  92 |
| Minecraft                | minecraft:villager                         |  93 |
| Minecraft                | minecraft:vindicator                       |  94 |
| Minecraft                | minecraft:wandering_trader                 |  95 |
| Minecraft                | minecraft:witch                            |  96 |
| Minecraft                | minecraft:wither                           |  97 |
| Minecraft                | minecraft:wither_skeleton                  |  98 |
| Minecraft                | minecraft:wither_skull                     |  99 |
| Minecraft                | minecraft:wolf                             | 100 |
| Minecraft                | minecraft:zoglin                           | 101 |
| Minecraft                | minecraft:zombie                           | 102 |
| Minecraft                | minecraft:zombie_horse                     | 103 |
| Minecraft                | minecraft:zombie_villager                  | 104 |
| Minecraft                | minecraft:zombified_piglin                 | 105 |
| MrCrayfish's Vehicle Mod | vehicle:aluminum_boat                      | 197 |
| MrCrayfish's Vehicle Mod | vehicle:atv                                | 189 |
| MrCrayfish's Vehicle Mod | vehicle:bumper_car                         | 194 |
| MrCrayfish's Vehicle Mod | vehicle:dirt_bike                          | 206 |
| MrCrayfish's Vehicle Mod | vehicle:dune_buggy                         | 190 |
| MrCrayfish's Vehicle Mod | vehicle:fertilizer                         | 211 |
| MrCrayfish's Vehicle Mod | vehicle:fluid_trailer                      | 209 |
| MrCrayfish's Vehicle Mod | vehicle:go_kart                            | 191 |
| MrCrayfish's Vehicle Mod | vehicle:golf_cart                          | 202 |
| MrCrayfish's Vehicle Mod | vehicle:jack                               | 212 |
| MrCrayfish's Vehicle Mod | vehicle:jet_ski                            | 195 |
| MrCrayfish's Vehicle Mod | vehicle:lawn_mower                         | 199 |
| MrCrayfish's Vehicle Mod | vehicle:mini_bike                          | 193 |
| MrCrayfish's Vehicle Mod | vehicle:mini_bus                           | 205 |
| MrCrayfish's Vehicle Mod | vehicle:moped                              | 200 |
| MrCrayfish's Vehicle Mod | vehicle:off_roader                         | 203 |
| MrCrayfish's Vehicle Mod | vehicle:seeder                             | 210 |
| MrCrayfish's Vehicle Mod | vehicle:shopping_cart                      | 192 |
| MrCrayfish's Vehicle Mod | vehicle:smart_car                          | 198 |
| MrCrayfish's Vehicle Mod | vehicle:speed_boat                         | 196 |
| MrCrayfish's Vehicle Mod | vehicle:sports_plane                       | 201 |
| MrCrayfish's Vehicle Mod | vehicle:storage_trailer                    | 208 |
| MrCrayfish's Vehicle Mod | vehicle:tractor                            | 204 |
| MrCrayfish's Vehicle Mod | vehicle:vehicle_trailer                    | 207 |
| Powah                    | powah:charged_snowball                     | 117 |
| ProjectE                 | projecte:fire_projectile                   | 129 |
| ProjectE                 | projecte:homing_arrow                      | 130 |
| ProjectE                 | projecte:lava_projectile                   | 131 |
| ProjectE                 | projecte:lens_projectile                   | 132 |
| ProjectE                 | projecte:mob_randomizer                    | 133 |
| ProjectE                 | projecte:nova_cataclysm_primed             | 135 |
| ProjectE                 | projecte:nova_catalyst_primed              | 134 |
| ProjectE                 | projecte:swrg_projectile                   | 136 |
| ProjectE                 | projecte:water_projectile                  | 137 |
| SecurityCraft            | securitycraft:bouncingbetty                | 183 |
| SecurityCraft            | securitycraft:bullet                       | 187 |
| SecurityCraft            | securitycraft:imsbomb                      | 184 |
| SecurityCraft            | securitycraft:securitycamera               | 185 |
| SecurityCraft            | securitycraft:sentry                       | 186 |
| Snail Mail               | snailmail:snail_man                        | 138 |
+--------------------------+--------------------------------------------+-----+
| Mod name                 | Registry name                              |  ID |
+--------------------------+--------------------------------------------+-----+
