+---------------------------------------+---------------------------------------------------+--------------------+-----------+-----+
| Registry name                         | Name                                              | Type               | Rarity    |  ID |
| minecraft:loyalty                     | enchantment.minecraft.loyalty                     | TRIDENT            | UNCOMMON  |  28 |
| minecraft:luck_of_the_sea             | enchantment.minecraft.luck_of_the_sea             | FISHING_ROD        | RARE      |  26 |
| minecraft:lure                        | enchantment.minecraft.lure                        | FISHING_ROD        | RARE      |  27 |
| minecraft:mending                     | enchantment.minecraft.mending                     | BREAKABLE          | RARE      |  35 |
| minecraft:multishot                   | enchantment.minecraft.multishot                   | CROSSBOW           | RARE      |  32 |
| minecraft:piercing                    | enchantment.minecraft.piercing                    | CROSSBOW           | COMMON    |  34 |
| minecraft:power                       | enchantment.minecraft.power                       | BOW                | COMMON    |  22 |
| minecraft:projectile_protection       | enchantment.minecraft.projectile_protection       | ARMOR              | UNCOMMON  |   4 |
| minecraft:protection                  | enchantment.minecraft.protection                  | ARMOR              | COMMON    |   0 |
| minecraft:punch                       | enchantment.minecraft.punch                       | BOW                | RARE      |  23 |
| minecraft:quick_charge                | enchantment.minecraft.quick_charge                | CROSSBOW           | UNCOMMON  |  33 |
| minecraft:respiration                 | enchantment.minecraft.respiration                 | ARMOR_HEAD         | RARE      |   5 |
| minecraft:riptide                     | enchantment.minecraft.riptide                     | TRIDENT            | RARE      |  30 |
| minecraft:sharpness                   | enchantment.minecraft.sharpness                   | WEAPON             | COMMON    |  11 |
| minecraft:silk_touch                  | enchantment.minecraft.silk_touch                  | DIGGER             | VERY_RARE |  19 |
| minecraft:smite                       | enchantment.minecraft.smite                       | WEAPON             | UNCOMMON  |  12 |
| minecraft:sweeping                    | enchantment.minecraft.sweeping                    | WEAPON             | RARE      |  17 |
| minecraft:thorns                      | enchantment.minecraft.thorns                      | ARMOR_CHEST        | VERY_RARE |   7 |
| minecraft:unbreaking                  | enchantment.minecraft.unbreaking                  | BREAKABLE          | UNCOMMON  |  20 |
| minecraft:vanishing_curse             | enchantment.minecraft.vanishing_curse             | ALL                | VERY_RARE |  36 |
| mubble:telekinesis                    | enchantment.mubble.telekinesis                    | WEAPON             | VERY_RARE | 116 |
| spartanshields:firebrand              | enchantment.spartanshields.firebrand              | ss_shield          | RARE      | 109 |
| spartanshields:payback                | enchantment.spartanshields.payback                | ss_shield          | VERY_RARE | 110 |
| spartanshields:spikes                 | enchantment.spartanshields.spikes                 | ss_shield          | UNCOMMON  | 108 |
| spartanweaponry:throwing_damage       | enchantment.spartanweaponry.throwing_damage       | sw_throwing_weapon | COMMON    |  42 |
| spartanweaponry:throwing_fire         | enchantment.spartanweaponry.throwing_fire         | sw_throwing_weapon | RARE      |  43 |
| spartanweaponry:throwing_hydrodynamic | enchantment.spartanweaponry.throwing_hydrodynamic | sw_throwing_weapon | RARE      |  45 |
| spartanweaponry:throwing_luck         | enchantment.spartanweaponry.throwing_luck         | sw_throwing_weapon | RARE      |  44 |
| spartanweaponry:throwing_range        | enchantment.spartanweaponry.throwing_range        | sw_throwing_weapon | UNCOMMON  |  41 |
| switchbow:activescope                 | enchantment.switchbow.activescope                 | BOW                | RARE      |  47 |
| switchbow:cooldownreduce              | enchantment.switchbow.cooldownreduce              | BOW                | RARE      |  48 |
| switchbow:pullspeed                   | enchantment.switchbow.pullspeed                   | BOW                | RARE      |  46 |
| tombstone:magic_siphon                | enchantment.tombstone.magic_siphon                | WEAPON             | RARE      |  39 |
| tombstone:plague_bringer              | enchantment.tombstone.plague_bringer              | WEAPON             | RARE      |  40 |
| tombstone:shadow_step                 | enchantment.tombstone.shadow_step                 | ARMOR_FEET         | RARE      |  37 |
| tombstone:soulbound                   | enchantment.tombstone.soulbound                   | type_tombstone_all | RARE      |  38 |
| walljump:doublejump                   | enchantment.walljump.doublejump                   | ARMOR_FEET         | RARE      | 103 |
| walljump:speedboost                   | enchantment.walljump.speedboost                   | ARMOR_FEET         | RARE      | 104 |
| walljump:walljump                     | enchantment.walljump.walljump                     | ARMOR_FEET         | UNCOMMON  | 102 |
+---------------------------------------+---------------------------------------------------+--------------------+-----------+-----+
| Registry name                         | Name                                              | Type               | Rarity    |  ID |
+---------------------------------------+---------------------------------------------------+--------------------+-----------+-----+
