+--------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                  | ID | Effects                                                                                                                                                                                                                                                                                                        |
| minecraft:leaping              |  9 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.minecraft.jump_boost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                      |
| minecraft:long_fire_resistance | 13 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.minecraft.fire_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                            |
| minecraft:long_invisibility    |  8 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.minecraft.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                  |
| minecraft:long_leaping         | 10 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.minecraft.jump_boost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                      |
| minecraft:long_night_vision    |  6 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.minecraft.night_vision,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                  |
| minecraft:long_poison          | 30 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.minecraft.poison,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                              |
| minecraft:long_regeneration    | 33 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.minecraft.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                  |
| minecraft:long_slow_falling    | 42 | PotionEffect:{Potion:[reg:minecraft:slow_falling,name:effect.minecraft.slow_falling,isBad:false,isBeneficial:true],amplifier:0,duration:4800,isAmbient:false}                                                                                                                                                  |
| minecraft:long_slowness        | 18 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isAmbient:false}                                                                                                                                                          |
| minecraft:long_strength        | 36 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                          |
| minecraft:long_swiftness       | 15 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                                |
| minecraft:long_turtle_master   | 21 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:3,duration:800,isAmbient:false}, PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:2,duration:800,isAmbient:false} |
| minecraft:long_water_breathing | 24 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.minecraft.water_breathing,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                            |
| minecraft:long_weakness        | 39 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.minecraft.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isAmbient:false}                                                                                                                                                          |
| minecraft:luck                 | 40 | PotionEffect:{Potion:[reg:minecraft:luck,name:effect.minecraft.luck,isBad:false,isBeneficial:true],amplifier:0,duration:6000,isAmbient:false}                                                                                                                                                                  |
| minecraft:mundane              |  2 |                                                                                                                                                                                                                                                                                                                |
| minecraft:night_vision         |  5 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.minecraft.night_vision,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                  |
| minecraft:poison               | 29 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.minecraft.poison,isBad:true,isBeneficial:false],amplifier:0,duration:900,isAmbient:false}                                                                                                                                                               |
| minecraft:regeneration         | 32 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.minecraft.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:900,isAmbient:false}                                                                                                                                                   |
| minecraft:slow_falling         | 41 | PotionEffect:{Potion:[reg:minecraft:slow_falling,name:effect.minecraft.slow_falling,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                  |
| minecraft:slowness             | 17 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                          |
| minecraft:strength             | 35 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                          |
| minecraft:strong_harming       | 28 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.minecraft.instant_damage,isBad:true,isBeneficial:false],amplifier:1,duration:1,isAmbient:false}                                                                                                                                                 |
| minecraft:strong_healing       | 26 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.minecraft.instant_health,isBad:false,isBeneficial:true],amplifier:1,duration:1,isAmbient:false}                                                                                                                                                 |
| minecraft:strong_leaping       | 11 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.minecraft.jump_boost,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                      |
| minecraft:strong_poison        | 31 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.minecraft.poison,isBad:true,isBeneficial:false],amplifier:1,duration:432,isAmbient:false}                                                                                                                                                               |
| minecraft:strong_regeneration  | 34 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.minecraft.regeneration,isBad:false,isBeneficial:true],amplifier:1,duration:450,isAmbient:false}                                                                                                                                                   |
| minecraft:strong_slowness      | 19 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:3,duration:400,isAmbient:false}                                                                                                                                                           |
| minecraft:strong_strength      | 37 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                          |
| minecraft:strong_swiftness     | 16 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                                |
| minecraft:strong_turtle_master | 22 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:5,duration:400,isAmbient:false}, PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:3,duration:400,isAmbient:false} |
| minecraft:swiftness            | 14 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                                |
| minecraft:thick                |  3 |                                                                                                                                                                                                                                                                                                                |
| minecraft:turtle_master        | 20 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.minecraft.slowness,isBad:true,isBeneficial:false],amplifier:3,duration:400,isAmbient:false}, PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:2,duration:400,isAmbient:false} |
| minecraft:water                |  1 |                                                                                                                                                                                                                                                                                                                |
| minecraft:water_breathing      | 23 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.minecraft.water_breathing,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                            |
| minecraft:weakness             | 38 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.minecraft.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isAmbient:false}                                                                                                                                                          |
| netherex:dispersal             | 43 | PotionEffect:{Potion:[reg:netherex:infested,name:effect.netherex.infested,isBad:true,isBeneficial:false],amplifier:0,duration:600,isAmbient:false}                                                                                                                                                             |
| netherex:freezing              | 44 | PotionEffect:{Potion:[reg:netherex:frozen,name:effect.netherex.frozen,isBad:true,isBeneficial:false],amplifier:0,duration:600,isAmbient:false}                                                                                                                                                                 |
| netherex:frigid_health         | 45 | PotionEffect:{Potion:[reg:netherex:frostbitten,name:effect.netherex.frostbitten,isBad:true,isBeneficial:false],amplifier:0,duration:600,isAmbient:false}                                                                                                                                                       |
| quark:danger_sight             | 57 | PotionEffect:{Potion:[reg:quark:danger_sight,name:effect.quark.danger_sight,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                          |
| quark:long_danger_sight        | 58 | PotionEffect:{Potion:[reg:quark:danger_sight,name:effect.quark.danger_sight,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                          |
| quark:long_resilience          | 55 | PotionEffect:{Potion:[reg:quark:resilience,name:effect.quark.resilience,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                              |
| quark:long_resistance          | 52 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isAmbient:false}                                                                                                                                                      |
| quark:resilience               | 54 | PotionEffect:{Potion:[reg:quark:resilience,name:effect.quark.resilience,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                              |
| quark:resistance               | 51 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                      |
| quark:strong_resilience        | 56 | PotionEffect:{Potion:[reg:quark:resilience,name:effect.quark.resilience,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                              |
| quark:strong_resistance        | 53 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isAmbient:false}                                                                                                                                                      |
+--------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                  | ID | Effects                                                                                                                                                                                                                                                                                                        |
+--------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
