+-------------------------------------+------------------------+--------+------------+---------+-------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                       | Display name           | Hunger | Saturation | Is meat | Fast to eat | Tags                                    | Effects                                                                                                                                                                                                                                                                                                                                           |
| betteranimalsplus:venisonraw        | Raw Venison            |      4 |        0.0 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:black_puff                      | Black Puff             |      2 |        0.6 | false   | false       | forge:mushrooms                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:blueberries                     | Blueberries            |      2 |        0.1 | false   | false       | byg:blue_dye, forge:crops, forge:fruits |                                                                                                                                                                                                                                                                                                                                                   |
| byg:cooked_joshua_fruit             | Cooked Joshua Fruit    |      5 |        0.4 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:green_apple                     | Green Apple            |      4 |       0.35 | false   | false       | forge:crops, forge:fruits               |                                                                                                                                                                                                                                                                                                                                                   |
| byg:green_mushroom                  | Green Mushroom         |      2 |        0.6 | false   | false       | forge:mushrooms                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:holly_berries                   | Holly Berries          |      2 |        0.1 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:joshua_fruit                    | Joshua Fruit           |      2 |       0.35 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:weeping_milkcap                 | Weeping Milkcap        |      2 |        0.6 | false   | false       | forge:mushrooms                         |                                                                                                                                                                                                                                                                                                                                                   |
| byg:wood_blewit                     | Wood Blewit            |      2 |        0.6 | false   | false       | forge:mushrooms                         |                                                                                                                                                                                                                                                                                                                                                   |
| coffeemod:coffee                    | Coffee                 |      0 |        0.0 | false   | false       |                                         | {[effect.minecraft.speed x 2, Duration: 1200, Particles: false, Show Icon: false], Propability: 1.0}, {[effect.minecraft.haste, Duration: 1200, Particles: false, Show Icon: false], Propability: 1.0}                                                                                                                                            |
| explorercraft:cawl_bowl             | Cawl                   |     10 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:cheese                | Cheese                 |      2 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:dried_fruits          | Dried Fruits           |      1 |        0.3 | false   | true        |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:lamb_shank            | Raw Lamb Shank         |      2 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:lamb_shank_cooked     | Lamb Shank             |      6 |        0.8 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:leek                  | Leek                   |      3 |        0.6 | false   | false       | forge:crops, forge:crops/leek           |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:leek_bowl             | Leek Soup              |      6 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:noctiluca             | Noctiluca              |      1 |        0.3 | false   | false       | forge:crops, forge:crops/noctiluca      | {[effect.minecraft.water_breathing x 2, Duration: 50], Propability: 1.0}                                                                                                                                                                                                                                                                          |
| explorercraft:onigiri               | Onigiri                |      3 |        0.5 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:rice                  | Rice                   |      1 |        0.1 | false   | false       | forge:crops, forge:crops/rice           |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:rice_bowl             | Bowl of Rice           |      7 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:salmon_sushi          | Salmon Sushi           |      7 |        0.9 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:tamago_sushi          | Tamago Sushi           |      6 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:welsh_cakes           | Welsh Cakes            |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| explorercraft:welsh_rarebit         | Welsh Rarebit          |      8 |        0.5 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:apple                     | Apple                  |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:baked_potato              | Baked Potato           |      5 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:beef                      | Raw Beef               |      3 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:beetroot                  | Beetroot               |      1 |        0.6 | false   | false       | forge:crops, forge:crops/beetroot       |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:beetroot_soup             | Beetroot Soup          |      6 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:bread                     | Bread                  |      5 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:carrot                    | Carrot                 |      3 |        0.6 | false   | false       | forge:crops, forge:crops/carrot         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:chicken                   | Raw Chicken            |      2 |        0.3 | true    | false       |                                         | {[effect.minecraft.hunger, Duration: 600], Propability: 0.3}                                                                                                                                                                                                                                                                                      |
| minecraft:chorus_fruit              | Chorus Fruit           |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cod                       | Raw Cod                |      2 |        0.1 | false   | false       | minecraft:fishes                        |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_beef               | Steak                  |      8 |        0.8 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_chicken            | Cooked Chicken         |      6 |        0.6 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_cod                | Cooked Cod             |      5 |        0.6 | false   | false       | minecraft:fishes                        |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_mutton             | Cooked Mutton          |      6 |        0.8 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_porkchop           | Cooked Porkchop        |      8 |        0.8 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_rabbit             | Cooked Rabbit          |      5 |        0.6 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cooked_salmon             | Cooked Salmon          |      6 |        0.8 | false   | false       | minecraft:fishes                        |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:cookie                    | Cookie                 |      2 |        0.1 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:dried_kelp                | Dried Kelp             |      1 |        0.3 | false   | true        |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:enchanted_golden_apple    | Enchanted Golden Apple |      4 |        1.2 | false   | false       | extendednether:piglin_loved             | {[effect.minecraft.regeneration x 2, Duration: 400], Propability: 1.0}, {[effect.minecraft.resistance, Duration: 6000], Propability: 1.0}, {[effect.minecraft.fire_resistance, Duration: 6000], Propability: 1.0}, {[effect.minecraft.absorption x 4, Duration: 2400], Propability: 1.0}                                                          |
| minecraft:golden_apple              | Golden Apple           |      4 |        1.2 | false   | false       | extendednether:piglin_loved             | {[effect.minecraft.regeneration x 2, Duration: 100], Propability: 1.0}, {[effect.minecraft.absorption, Duration: 2400], Propability: 1.0}                                                                                                                                                                                                         |
| minecraft:golden_carrot             | Golden Carrot          |      6 |        1.2 | false   | false       | extendednether:piglin_loved             |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:honey_bottle              | Honey Bottle           |      6 |        0.1 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:melon_slice               | Melon Slice            |      2 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:mushroom_stew             | Mushroom Stew          |      6 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:mutton                    | Raw Mutton             |      2 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:poisonous_potato          | Poisonous Potato       |      2 |        0.3 | false   | false       | tombstone:voodoo_poppet_ingredients     | {[effect.minecraft.poison, Duration: 100], Propability: 0.6}                                                                                                                                                                                                                                                                                      |
| minecraft:porkchop                  | Raw Porkchop           |      3 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:potato                    | Potato                 |      1 |        0.3 | false   | false       | forge:crops, forge:crops/potato         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:pufferfish                | Pufferfish             |      1 |        0.1 | false   | false       | minecraft:fishes                        | {[effect.minecraft.poison x 4, Duration: 1200], Propability: 1.0}, {[effect.minecraft.hunger x 3, Duration: 300], Propability: 1.0}, {[effect.minecraft.nausea x 2, Duration: 300], Propability: 1.0}                                                                                                                                             |
| minecraft:pumpkin_pie               | Pumpkin Pie            |      8 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:rabbit                    | Raw Rabbit             |      3 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:rabbit_stew               | Rabbit Stew            |     10 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:rotten_flesh              | Rotten Flesh           |      4 |        0.1 | true    | false       |                                         | {[effect.minecraft.hunger, Duration: 600], Propability: 0.8}                                                                                                                                                                                                                                                                                      |
| minecraft:salmon                    | Raw Salmon             |      2 |        0.1 | false   | false       | minecraft:fishes                        |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:spider_eye                | Spider Eye             |      2 |        0.8 | false   | false       |                                         | {[effect.minecraft.poison, Duration: 100], Propability: 1.0}                                                                                                                                                                                                                                                                                      |
| minecraft:suspicious_stew           | Suspicious Stew        |      6 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:sweet_berries             | Sweet Berries          |      2 |        0.1 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| minecraft:tropical_fish             | Tropical Fish          |      1 |        0.1 | false   | false       | minecraft:fishes                        |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:apricot                      | Apricot                |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:baguette                     | Baguette               |      7 |        0.7 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:banana                       | Banana                 |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:blueberries                  | Blueberries            |      2 |        0.1 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:blueberry_crepe              | Blueberry Crêpe        |      5 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:burger                       | Burger                 |      9 |        0.9 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:candy_cane                   | Candy Cane             |      3 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:caramel_crepe                | Caramel Crêpe          |      7 |        0.8 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:caramel_cube                 | Caramel Cube           |      4 |        0.2 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:cheese                       | Cheese                 |      2 |        0.4 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:chocolate_crepe              | Chocolate Crêpe        |      7 |        0.9 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:cooked_duck                  | Cooked Duck            |      6 |        0.6 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:crepe                        | Crêpe                  |      3 |        0.5 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:duck                         | Duck                   |      2 |        0.3 | true    | false       |                                         | {[effect.minecraft.hunger, Duration: 600], Propability: 0.3}                                                                                                                                                                                                                                                                                      |
| mubble:honey_crepe                  | Honey Crêpe            |      5 |        0.7 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:mango                        | Mango                  |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:peach                        | Peach                  |      3 |        0.5 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:salad                        | Salad                  |      2 |        0.7 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:sugar_crepe                  | Sugar Crêpe            |      5 |        0.7 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:super_mushroom               | Super Mushroom         |      3 |        0.5 | false   | false       | mubble:feeding/toad                     | {[effect.minecraft.jump_boost x 2, Duration: 550], Propability: 1.0}                                                                                                                                                                                                                                                                              |
| mubble:super_star                   | Super Star             |      3 |        1.5 | false   | false       |                                         | {[effect.minecraft.speed x 2, Duration: 600], Propability: 1.0}, {[effect.minecraft.strength, Duration: 600], Propability: 1.0}, {[effect.minecraft.regeneration x 2, Duration: 600], Propability: 1.0}, {[effect.minecraft.resistance x 2, Duration: 600], Propability: 1.0}, {[effect.minecraft.night_vision, Duration: 600], Propability: 1.0} |
| mubble:sweet_berry_crepe            | Sweet Berry Crêpe      |      5 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| mubble:tomato                       | Tomato                 |      3 |        0.6 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| netherex:cooked_ghast_meat          | Cooked Ghast Meat      |      8 |        1.0 | true    | false       |                                         | {[effect.minecraft.levitation, Duration: 200], Propability: 1.0}                                                                                                                                                                                                                                                                                  |
| netherex:enoki_mushroom             | Enoki Mushroom         |      3 |        0.7 | false   | false       |                                         | {[effect.minecraft.levitation, Duration: 200], Propability: 1.0}                                                                                                                                                                                                                                                                                  |
| netherex:ghast_meat                 | Raw Ghast Meat         |      4 |        0.5 | true    | false       |                                         | {[effect.minecraft.levitation, Duration: 100], Propability: 1.0}                                                                                                                                                                                                                                                                                  |
| nuggets_dungeons_ii:blood_vial      | Blood Vial             |      1 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| nuggets_dungeons_ii:candy_corns     | Candy Corns            |      2 |        0.2 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| nuggets_dungeons_ii:frostfruit      | Frostfruit             |      4 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| nuggets_dungeons_ii:glowchop        | Glowchop               |      3 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| nuggets_dungeons_ii:platinum_carrot | Platinum Carrot        |      6 |        0.5 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| nuggets_dungeons_ii:popfruit        | Popfruit               |      2 |        0.3 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| quark:cooked_crab_leg               | Cooked Crab Leg        |      8 |        0.8 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| quark:cooked_frog_leg               | Cooked Frog Leg        |      4 |       1.25 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| quark:crab_leg                      | Crab Leg               |      1 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| quark:frog_leg                      | Frog Leg               |      2 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| quark:golden_frog_leg               | Golden Frog Leg        |      4 |        2.5 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| quark:root_item                     | Cave Root              |      3 |        0.4 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| tombstone:lollipop_0                | Halloween Lollipop     |      2 |        2.0 | false   | false       | tombstone:lollipops                     |                                                                                                                                                                                                                                                                                                                                                   |
| tombstone:lollipop_1                | Halloween Lollipop     |      2 |        2.0 | false   | false       | tombstone:lollipops                     |                                                                                                                                                                                                                                                                                                                                                   |
| tombstone:lollipop_2                | Halloween Lollipop     |      2 |        2.0 | false   | false       | tombstone:lollipops                     |                                                                                                                                                                                                                                                                                                                                                   |
| tombstone:lollipop_3                | Halloween Lollipop     |      2 |        2.0 | false   | false       | tombstone:lollipops                     |                                                                                                                                                                                                                                                                                                                                                   |
| tombstone:lollipop_4                | Halloween Lollipop     |      2 |        2.0 | false   | false       | tombstone:lollipops                     |                                                                                                                                                                                                                                                                                                                                                   |
+-------------------------------------+------------------------+--------+------------+---------+-------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                       | Display name           | Hunger | Saturation | Is meat | Fast to eat | Tags                                    | Effects                                                                                                                                                                                                                                                                                                                                           |
+-------------------------------------+------------------------+--------+------------+---------+-------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
